mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,8,32,4096,12,2,128,warmup,0,2794,0
scna-int8,exp2,direct,8,32,4096,12,2,128,warmup,1,2580,0
scna-int8,exp2,direct,8,32,4096,12,2,128,warmup,2,2555,0
scna-int8,exp2,direct,8,32,4096,12,2,128,warmup,3,2600,0
scna-int8,exp2,direct,8,32,4096,12,2,128,warmup,4,2659,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,0,2698,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,1,2626,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,2,2621,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,3,2667,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,4,2717,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,5,2649,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,6,2719,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,7,2738,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,8,2726,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,9,2789,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,10,2660,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,11,2756,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,12,2750,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,13,2734,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,14,2782,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,15,2708,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,16,2789,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,17,2776,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,18,2698,0
scna-int8,exp2,direct,8,32,4096,12,2,128,measure,19,2678,0
