mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,8,4,4096,12,2,128,warmup,0,1152,0
scna-int8,exp2,tree,8,4,4096,12,2,128,warmup,1,1107,0
scna-int8,exp2,tree,8,4,4096,12,2,128,warmup,2,1119,0
scna-int8,exp2,tree,8,4,4096,12,2,128,warmup,3,1091,0
scna-int8,exp2,tree,8,4,4096,12,2,128,warmup,4,1014,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,0,1045,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,1,1019,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,2,1115,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,3,1111,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,4,1109,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,5,1109,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,6,1021,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,7,1099,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,8,1050,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,9,1110,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,10,1103,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,11,1106,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,12,1102,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,13,992,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,14,1076,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,15,1034,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,16,1022,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,17,1107,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,18,1035,0
scna-int8,exp2,tree,8,4,4096,12,2,128,measure,19,1059,0
