mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,16,4,4096,12,2,128,warmup,0,993,0
scna-fp16,exp,direct,16,4,4096,12,2,128,warmup,1,1098,0
scna-fp16,exp,direct,16,4,4096,12,2,128,warmup,2,1096,0
scna-fp16,exp,direct,16,4,4096,12,2,128,warmup,3,1095,0
scna-fp16,exp,direct,16,4,4096,12,2,128,warmup,4,1102,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,0,1125,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,1,1112,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,2,1149,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,3,1135,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,4,1104,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,5,1095,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,6,1099,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,7,1098,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,8,1259,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,9,1333,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,10,1334,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,11,1321,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,12,1321,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,13,1333,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,14,1306,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,15,1245,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,16,1301,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,17,1345,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,18,1368,0
scna-fp16,exp,direct,16,4,4096,12,2,128,measure,19,1362,0
