mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,8,8,4096,12,2,128,warmup,0,1197,0
scna-fp16,exp,tree,8,8,4096,12,2,128,warmup,1,1289,0
scna-fp16,exp,tree,8,8,4096,12,2,128,warmup,2,1312,0
scna-fp16,exp,tree,8,8,4096,12,2,128,warmup,3,1433,0
scna-fp16,exp,tree,8,8,4096,12,2,128,warmup,4,1298,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,0,1315,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,1,1310,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,2,1307,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,3,1315,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,4,1366,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,5,1374,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,6,1375,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,7,1396,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,8,1416,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,9,1366,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,10,1387,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,11,1372,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,12,1395,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,13,1388,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,14,1377,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,15,1352,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,16,1425,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,17,1463,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,18,1375,0
scna-fp16,exp,tree,8,8,4096,12,2,128,measure,19,1356,0
