mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,16,16,4096,12,2,128,warmup,0,1995,0
scna-int8,exp,direct,16,16,4096,12,2,128,warmup,1,1990,0
scna-int8,exp,direct,16,16,4096,12,2,128,warmup,2,1942,0
scna-int8,exp,direct,16,16,4096,12,2,128,warmup,3,1936,0
scna-int8,exp,direct,16,16,4096,12,2,128,warmup,4,1940,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,0,1939,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,1,2050,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,2,1936,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,3,1996,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,4,2151,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,5,2132,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,6,2126,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,7,2108,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,8,2103,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,9,2108,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,10,2089,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,11,2128,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,12,2004,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,13,2001,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,14,2013,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,15,2100,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,16,2114,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,17,2011,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,18,2005,0
scna-int8,exp,direct,16,16,4096,12,2,128,measure,19,2017,0
