mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,8,4,4096,12,2,128,warmup,0,1259,0
scna-int8,exp,tree,8,4,4096,12,2,128,warmup,1,1167,0
scna-int8,exp,tree,8,4,4096,12,2,128,warmup,2,1160,0
scna-int8,exp,tree,8,4,4096,12,2,128,warmup,3,1166,0
scna-int8,exp,tree,8,4,4096,12,2,128,warmup,4,1162,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,0,1162,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,1,1160,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,2,1163,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,3,1161,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,4,1167,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,5,1163,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,6,1163,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,7,1263,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,8,1218,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,9,1252,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,10,1222,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,11,1207,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,12,1231,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,13,1211,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,14,1253,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,15,1317,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,16,1231,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,17,1243,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,18,1233,0
scna-int8,exp,tree,8,4,4096,12,2,128,measure,19,1184,0
