mode,function,kernel,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,host_elapsed
baseline,none,none,0,4,0,752.0,161.0,0.0,2.0,293.0,286.0,4.0,2.0,999.0
baseline,none,none,0,4,1,741.0,161.0,0.0,2.0,303.0,265.0,4.0,2.0,991.0
baseline,none,none,0,4,2,751.0,162.0,0.0,1.0,297.0,281.0,4.0,2.0,993.0
baseline,none,none,0,4,3,739.0,160.0,0.0,2.0,296.0,271.0,4.0,2.0,993.0
baseline,none,none,0,4,4,737.0,162.0,0.0,2.0,289.0,274.0,4.0,2.0,992.0
baseline,none,none,0,4,5,737.0,161.0,0.0,2.0,293.0,271.0,4.0,2.0,993.0
baseline,none,none,0,4,6,742.0,160.0,0.0,2.0,292.0,278.0,4.0,2.0,988.0
baseline,none,none,0,4,7,734.0,161.0,0.0,2.0,294.0,267.0,4.0,2.0,992.0
baseline,none,none,0,4,8,738.0,161.0,0.0,2.0,278.0,288.0,4.0,2.0,998.0
baseline,none,none,0,4,9,737.0,161.0,0.0,2.0,288.0,276.0,4.0,2.0,994.0
baseline,none,none,0,4,10,809.0,166.0,0.0,2.0,323.0,308.0,4.0,2.0,1152.0
baseline,none,none,0,4,11,851.0,171.0,0.0,2.0,355.0,313.0,4.0,2.0,1140.0
baseline,none,none,0,4,12,814.0,167.0,0.0,2.0,336.0,299.0,4.0,2.0,1146.0
baseline,none,none,0,4,13,789.0,167.0,0.0,2.0,320.0,291.0,4.0,2.0,1131.0
baseline,none,none,0,4,14,773.0,165.0,0.0,2.0,308.0,288.0,4.0,2.0,1097.0
baseline,none,none,0,4,15,793.0,165.0,0.0,2.0,318.0,299.0,4.0,2.0,1041.0
baseline,none,none,0,4,16,787.0,165.0,0.0,3.0,319.0,290.0,4.0,2.0,1059.0
baseline,none,none,0,4,17,785.0,164.0,0.0,3.0,313.0,296.0,4.0,2.0,1082.0
baseline,none,none,0,4,18,791.0,164.0,0.0,2.0,317.0,298.0,4.0,2.0,1067.0
baseline,none,none,0,4,19,781.0,164.0,0.0,3.0,306.0,299.0,4.0,2.0,1036.0
baseline,none,none,0,8,0,904.0,316.0,0.0,4.0,298.0,264.0,8.0,6.0,1199.0
baseline,none,none,0,8,1,902.0,317.0,0.0,4.0,295.0,265.0,8.0,5.0,1209.0
baseline,none,none,0,8,2,906.0,317.0,0.0,4.0,298.0,265.0,8.0,6.0,1210.0
baseline,none,none,0,8,3,896.0,317.0,0.0,4.0,295.0,259.0,8.0,5.0,1203.0
baseline,none,none,0,8,4,899.0,318.0,0.0,4.0,291.0,265.0,8.0,5.0,1205.0
baseline,none,none,0,8,5,899.0,317.0,0.0,4.0,294.0,263.0,8.0,5.0,1202.0
baseline,none,none,0,8,6,919.0,317.0,0.0,4.0,303.0,274.0,8.0,5.0,1206.0
baseline,none,none,0,8,7,909.0,316.0,0.0,4.0,297.0,271.0,8.0,5.0,1206.0
baseline,none,none,0,8,8,898.0,319.0,0.0,3.0,289.0,266.0,8.0,5.0,1138.0
baseline,none,none,0,8,9,914.0,318.0,0.0,4.0,299.0,272.0,8.0,5.0,1212.0
baseline,none,none,0,8,10,958.0,323.0,0.0,4.0,305.0,305.0,8.0,5.0,1296.0
baseline,none,none,0,8,11,962.0,325.0,0.0,4.0,324.0,288.0,8.0,5.0,1323.0
baseline,none,none,0,8,12,951.0,324.0,0.0,4.0,318.0,283.0,8.0,5.0,1262.0
baseline,none,none,0,8,13,981.0,325.0,0.0,4.0,318.0,313.0,8.0,5.0,1299.0
baseline,none,none,0,8,14,970.0,325.0,0.0,4.0,320.0,300.0,8.0,5.0,1236.0
