mode,function,kernel,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p50_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,scna_share_pct,host_control_median_us,micro_single_ns_per_vector,micro_pair_ns_per_vector,micro_rmse,micro_max_abs,micro_dense_rmse,micro_dense_max_abs,micro_direct_tree_max_abs,baseline_speedup
baseline,none,none,0,4,20,762.5,762.5,815.85,740.0,788.0,1017.5,1017.5,1146.3,993.0,1074.5,163.0,0.0,2.0,304.5,288.0,4.0,2.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,none,none,0,8,20,935.0,935.0,981.0,905.0,965.5,1224.0,1224.0,1321.1,1206.0,1266.0,321.0,0.0,4.0,304.0,278.5,8.0,5.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,none,none,0,16,20,1333.0,1333.0,1355.15,1299.5,1348.0124999999998,1602.0,1602.0,1676.75,1573.0,1616.0,643.5,0.0,8.0,336.5,308.0,12.0,10.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,none,none,0,32,20,1917.0,1917.0,1941.4,1909.5,1929.5,2261.0,2261.0,2276.8,2249.5,2267.5,1284.0,0.0,15.0,282.0,267.0,24.0,22.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scna-fp16,exp,direct,8,4,20,863.5,863.5,904.2,850.5,876.0,1162.5,1162.5,1215.2,1146.0,1167.5,212.0,166.0,2.0,319.5,315.5,4.0,2.0,19.22408801389693,299.0,40.22,27.33,0.00168327,0.0134642,0.0165054,0.24023,0.000488281,0.8830341632889404
scna-fp16,exp,direct,8,8,20,1093.0,1093.0,1102.05,1070.5,1096.5,1329.5,1329.5,1408.2,1297.0,1356.5,423.0,328.0,4.0,332.0,308.5,8.0,7.0,30.009149130832572,236.5,40.22,27.33,0.00168327,0.0134642,0.0165054,0.24023,0.000488281,0.8554437328453797
scna-fp16,exp,direct,8,16,20,1459.5,1459.5,1511.1,1448.0,1494.0,1748.0,1748.0,1812.25,1726.5,1766.5,827.0,647.0,8.0,311.0,281.5,12.0,10.0,44.33025008564577,288.5,40.22,27.33,0.00168327,0.0134642,0.0165054,0.24023,0.000488281,0.9133264816718054
scna-fp16,exp,direct,8,32,20,2345.5,2345.5,2355.05,2335.5,2352.5,2660.5,2660.5,2699.6,2649.5,2685.0,1647.0,1288.0,15.0,324.0,287.0,24.0,24.0,54.91366446386698,315.0,40.22,27.33,0.00168327,0.0134642,0.0165054,0.24023,0.000488281,0.8173097420592624
scna-fp16,exp,direct,16,4,20,998.5,998.5,1026.4,859.5,1009.5,1280.0,1280.0,1362.3,1129.9125,1327.0,287.0,232.0,2.0,368.5,322.5,4.0,3.0,23.234852278417627,281.5,71.16,47.445,0.000244954,0.00195909,0.00432045,0.0858521,0.000732422,0.7636454682023035
scna-fp16,exp,direct,16,8,20,1226.0,1226.0,1265.15,1207.0,1243.0,1542.0,1542.0,1590.3,1477.0,1547.5,543.0,450.0,4.0,336.0,325.0,9.0,8.0,36.7047308319739,316.0,71.16,47.445,0.000244954,0.00195909,0.00432045,0.0858521,0.000732422,0.7626427406199021
