mode,function,kernel,pipeline,width,mask_mode,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,ret
scna-fp16,exp2,direct,on,16,causal,4093,128,0.000677658,0.00139591,0,0,0
scna-fp16,exp2,direct,on,16,full,4093,128,0.000658601,0.00132035,0,0,0
scna-fp16,exp2,direct,on,16,full,4096,64,0.000324875,0.000802673,0,0,0
scna-fp16,exp2,direct,on,16,padding,4093,128,0.000696108,0.00140483,0,0,0
scna-fp16,exp2,direct,on,32,causal,4093,128,0.000687282,0.00148365,0,0,0
scna-fp16,exp2,direct,on,32,full,4093,128,0.000667197,0.0014161,0,0,0
scna-fp16,exp2,direct,on,32,full,4096,64,0.000333271,0.000852824,0,0,0
scna-fp16,exp2,direct,on,32,padding,4093,128,0.000705324,0.00149202,0,0,0
scna-fp16,exp2,direct,on,8,causal,4093,128,0.000675434,0.00133558,0,0,0
scna-fp16,exp2,direct,on,8,full,4093,128,0.000656537,0.00125611,0,0,0
scna-fp16,exp2,direct,on,8,full,4096,64,0.000317295,0.00070788,0,0,0
scna-fp16,exp2,direct,on,8,padding,4093,128,0.00069299,0.00133944,0,0,0
scna-fp16,exp2,tree,on,16,causal,4093,128,0.000682304,0.00141153,0,0,0
scna-fp16,exp2,tree,on,16,full,4093,128,0.000662001,0.00137032,0,0,0
scna-fp16,exp2,tree,on,16,full,4096,64,0.000324701,0.000781693,0,0,0
scna-fp16,exp2,tree,on,16,padding,4093,128,0.000700617,0.00140667,0,0,0
scna-fp16,exp2,tree,on,32,causal,4093,128,0.000688418,0.00146494,0,0,0
scna-fp16,exp2,tree,on,32,full,4093,128,0.000668881,0.00142754,0,0,0
scna-fp16,exp2,tree,on,32,full,4096,64,0.000333743,0.000868083,0,0,0
scna-fp16,exp2,tree,on,32,padding,4093,128,0.000707168,0.00146771,0,0,0
scna-fp16,exp2,tree,on,8,causal,4093,128,0.00067424,0.00132795,0,0,0
scna-fp16,exp2,tree,on,8,full,4093,128,0.000655434,0.00124634,0,0,0
scna-fp16,exp2,tree,on,8,full,4096,64,0.000317992,0.000713028,0,0,0
scna-fp16,exp2,tree,on,8,padding,4093,128,0.000692107,0.00133795,0,0,0
scna-int8,exp2,direct,on,16,causal,4093,128,0.000767872,0.00205993,0,0,0
scna-int8,exp2,direct,on,16,full,4093,128,0.000747711,0.00198893,0,0,0
scna-int8,exp2,direct,on,16,full,4096,64,0.000334655,0.000871128,0,0,0
scna-int8,exp2,direct,on,16,padding,4093,128,0.000785019,0.00214134,0,0,0
scna-int8,exp2,direct,on,32,causal,4093,128,0.000833431,0.00230026,0,0,0
scna-int8,exp2,direct,on,32,full,4093,128,0.000813069,0.00225214,0,0,0
scna-int8,exp2,direct,on,32,full,4096,64,0.000356843,0.00097031,0,0,0
scna-int8,exp2,direct,on,32,padding,4093,128,0.000850713,0.00239311,0,0,0
scna-int8,exp2,direct,on,8,causal,4093,128,0.000717279,0.00177001,0,0,0
scna-int8,exp2,direct,on,8,full,4093,128,0.000697202,0.00172572,0,0,0
scna-int8,exp2,direct,on,8,full,4096,64,0.000323018,0.000803303,0,0,0
scna-int8,exp2,direct,on,8,padding,4093,128,0.000735433,0.00185142,0,0,0
scna-int8,exp2,tree,on,16,causal,4093,128,0.000767872,0.00205993,0,0,0
scna-int8,exp2,tree,on,16,full,4093,128,0.000747711,0.00198893,0,0,0
scna-int8,exp2,tree,on,16,full,4096,64,0.000334655,0.000871128,0,0,0
scna-int8,exp2,tree,on,16,padding,4093,128,0.000785019,0.00214134,0,0,0
scna-int8,exp2,tree,on,32,causal,4093,128,0.000833431,0.00230026,0,0,0
scna-int8,exp2,tree,on,32,full,4093,128,0.000813069,0.00225214,0,0,0
scna-int8,exp2,tree,on,32,full,4096,64,0.000356843,0.00097031,0,0,0
scna-int8,exp2,tree,on,32,padding,4093,128,0.000850713,0.00239311,0,0,0
scna-int8,exp2,tree,on,8,causal,4093,128,0.000717279,0.00177001,0,0,0
scna-int8,exp2,tree,on,8,full,4093,128,0.000697202,0.00172572,0,0,0
scna-int8,exp2,tree,on,8,full,4096,64,0.000323018,0.000803303,0,0,0
scna-int8,exp2,tree,on,8,padding,4093,128,0.000735433,0.00185142,0,0,0
scna-fp16,exp,direct,on,16,causal,4093,128,0.000674548,0.00135395,0,0,0
scna-fp16,exp,direct,on,16,full,4093,128,0.000655369,0.00128258,0,0,0
scna-fp16,exp,direct,on,16,full,4096,64,0.000319738,0.000744105,0,0,0
scna-fp16,exp,direct,on,16,padding,4093,128,0.000692929,0.00136287,0,0,0
scna-fp16,exp,direct,on,32,causal,4093,128,0.00068155,0.00144586,0,0,0
scna-fp16,exp,direct,on,32,full,4093,128,0.000661432,0.00140465,0,0,0
scna-fp16,exp,direct,on,32,full,4096,64,0.000331588,0.000861801,0,0,0
scna-fp16,exp,direct,on,32,padding,4093,128,0.000700928,0.00145626,0,0,0
scna-fp16,exp,direct,on,8,causal,4093,128,0.000677073,0.00135846,0,0,0
scna-fp16,exp,direct,on,8,full,4093,128,0.000656953,0.00128932,0,0,0
scna-fp16,exp,direct,on,8,full,4096,64,0.000317915,0.000694236,0,0,0
scna-fp16,exp,direct,on,8,padding,4093,128,0.000694978,0.00137332,0,0,0
scna-fp16,exp,tree,on,16,causal,4093,128,0.000675135,0.00135776,0,0,0
scna-fp16,exp,tree,on,16,full,4093,128,0.000655928,0.00128091,0,0,0
scna-fp16,exp,tree,on,16,full,4096,64,0.000320467,0.000759364,0,0,0
scna-fp16,exp,tree,on,16,padding,4093,128,0.000692919,0.00136996,0,0,0
scna-fp16,exp,tree,on,32,causal,4093,128,0.000682161,0.00144931,0,0,0
scna-fp16,exp,tree,on,32,full,4093,128,0.00066213,0.00136474,0,0,0
scna-fp16,exp,tree,on,32,full,4096,64,0.000329461,0.000856079,0,0,0
scna-fp16,exp,tree,on,32,padding,4093,128,0.000701124,0.00146008,0,0,0
scna-fp16,exp,tree,on,8,causal,4093,128,0.00067633,0.00135807,0,0,0
scna-fp16,exp,tree,on,8,full,4093,128,0.00065682,0.00127025,0,0,0
scna-fp16,exp,tree,on,8,full,4096,64,0.000318474,0.000690441,0,0,0
scna-fp16,exp,tree,on,8,padding,4093,128,0.000694149,0.00136951,0,0,0
scna-int8,exp,direct,on,16,causal,4093,128,0.000809648,0.00260954,0,0,0
scna-int8,exp,direct,on,16,full,4093,128,0.00079622,0.00251533,0,0,0
scna-int8,exp,direct,on,16,full,4096,64,0.000334145,0.000955261,0,0,0
scna-int8,exp,direct,on,16,padding,4093,128,0.000823102,0.00260954,0,0,0
scna-int8,exp,direct,on,32,causal,4093,128,0.000875325,0.00291472,0,0,0
scna-int8,exp,direct,on,32,full,4093,128,0.000862826,0.00286628,0,0,0
scna-int8,exp,direct,on,32,full,4096,64,0.000343113,0.00111166,0,0,0
scna-int8,exp,direct,on,32,padding,4093,128,0.000886363,0.00291472,0,0,0
scna-int8,exp,direct,on,8,causal,4093,128,0.000723255,0.00201063,0,0,0
scna-int8,exp,direct,on,8,full,4093,128,0.000706822,0.00189117,0,0,0
scna-int8,exp,direct,on,8,full,4096,64,0.000321082,0.000795438,0,0,0
scna-int8,exp,direct,on,8,padding,4093,128,0.000738649,0.00201063,0,0,0
scna-int8,exp,tree,on,16,causal,4093,128,0.000809648,0.00260954,0,0,0
scna-int8,exp,tree,on,16,full,4093,128,0.00079622,0.00251533,0,0,0
scna-int8,exp,tree,on,16,full,4096,64,0.000334145,0.000955261,0,0,0
scna-int8,exp,tree,on,16,padding,4093,128,0.000823102,0.00260954,0,0,0
scna-int8,exp,tree,on,32,causal,4093,128,0.000875325,0.00291472,0,0,0
scna-int8,exp,tree,on,32,full,4093,128,0.000862826,0.00286628,0,0,0
scna-int8,exp,tree,on,32,full,4096,64,0.000343113,0.00111166,0,0,0
scna-int8,exp,tree,on,32,padding,4093,128,0.000886363,0.00291472,0,0,0
scna-int8,exp,tree,on,8,causal,4093,128,0.000723255,0.00201063,0,0,0
scna-int8,exp,tree,on,8,full,4093,128,0.000706822,0.00189117,0,0,0
scna-int8,exp,tree,on,8,full,4096,64,0.000321082,0.000795438,0,0,0
scna-int8,exp,tree,on,8,padding,4093,128,0.000738649,0.00201063,0,0,0
