mode,function,kernel,width,mask_mode,kv_len,head_dim,p0_first_bits,p0_last_bits,requires_zero,gate
scna-fp16,exp2,direct,16,causal,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,16,causal,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,16,full,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,16,full,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,16,full,4096,64,0x39f7,0x3a84,0,pass
scna-fp16,exp2,direct,16,full,4096,64,0x39f7,0x3a84,0,pass
scna-fp16,exp2,direct,16,padding,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,16,padding,4093,128,0x3ae2,0x0,1,pass
scna-fp16,exp2,direct,32,causal,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,32,causal,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,32,full,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,32,full,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,32,full,4096,64,0x3996,0x3a3c,0,pass
scna-fp16,exp2,direct,32,full,4096,64,0x3996,0x3a3c,0,pass
scna-fp16,exp2,direct,32,padding,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,32,padding,4093,128,0x3aad,0x0,1,pass
scna-fp16,exp2,direct,8,causal,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,direct,8,causal,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,direct,8,full,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,direct,8,full,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,direct,8,full,4096,64,0x3a8e,0x3af3,0,pass
scna-fp16,exp2,direct,8,full,4096,64,0x3a8e,0x3af3,0,pass
scna-fp16,exp2,direct,8,padding,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,direct,8,padding,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,16,causal,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,16,causal,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,16,full,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,16,full,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,16,full,4096,64,0x39f7,0x3a84,0,pass
scna-fp16,exp2,tree,16,full,4096,64,0x39f7,0x3a84,0,pass
scna-fp16,exp2,tree,16,padding,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,16,padding,4093,128,0x3ae3,0x0,1,pass
scna-fp16,exp2,tree,32,causal,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,32,causal,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,32,full,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,32,full,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,32,full,4096,64,0x3995,0x3a3b,0,pass
scna-fp16,exp2,tree,32,full,4096,64,0x3995,0x3a3b,0,pass
scna-fp16,exp2,tree,32,padding,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,32,padding,4093,128,0x3aac,0x0,1,pass
scna-fp16,exp2,tree,8,causal,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,8,causal,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,8,full,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,8,full,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,8,full,4096,64,0x3a8e,0x3af2,0,pass
scna-fp16,exp2,tree,8,full,4096,64,0x3a8e,0x3af2,0,pass
scna-fp16,exp2,tree,8,padding,4093,128,0x3b36,0x0,1,pass
scna-fp16,exp2,tree,8,padding,4093,128,0x3b36,0x0,1,pass
scna-int8,exp2,direct,16,causal,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,16,causal,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,16,full,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,16,full,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,16,full,4096,64,0x39ec,0x3a6a,0,pass
scna-int8,exp2,direct,16,full,4096,64,0x39ec,0x3a6a,0,pass
scna-int8,exp2,direct,16,padding,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,16,padding,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,direct,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,direct,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,direct,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,direct,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,direct,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,direct,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,direct,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,direct,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,direct,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,direct,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,direct,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,16,causal,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,16,causal,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,16,full,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,16,full,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,16,full,4096,64,0x39ec,0x3a6a,0,pass
scna-int8,exp2,tree,16,full,4096,64,0x39ec,0x3a6a,0,pass
scna-int8,exp2,tree,16,padding,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,16,padding,4093,128,0x3ae8,0x0,1,pass
scna-int8,exp2,tree,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,tree,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,tree,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,tree,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,tree,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-fp16,exp,direct,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4096,64,0x3a3b,0x3ab6,0,pass
scna-fp16,exp,direct,16,full,4096,64,0x3a3b,0x3ab6,0,pass
scna-fp16,exp,direct,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,32,causal,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,causal,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4096,64,0x39c0,0x3a5c,0,pass
