mode,function,kernel,width,mask_mode,kv_len,head_dim,byte_mismatches,rmse,max_abs_error,candidate_nonfinite,alternate_nonfinite,gate,ret
scna-fp16,exp2,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,direct,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp2,tree,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,direct,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp2,tree,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,direct,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,32,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,32,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,32,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,32,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-int8,exp,direct,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-int8,exp,tree,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
