mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,exp2,direct,off,0,16,4096,12,2,128,warmup,0,1483,0
baseline,exp2,direct,off,0,16,4096,12,2,128,warmup,1,1565,0
baseline,exp2,direct,off,0,16,4096,12,2,128,warmup,2,1576,0
baseline,exp2,direct,off,0,16,4096,12,2,128,warmup,3,1578,0
baseline,exp2,direct,off,0,16,4096,12,2,128,warmup,4,1610,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,0,1567,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,1,1565,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,2,1591,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,3,1687,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,4,1728,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,5,1683,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,6,1729,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,7,1751,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,8,1749,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,9,1752,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,10,1739,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,11,1673,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,12,1633,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,13,1614,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,14,1520,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,15,1611,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,16,1619,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,17,1569,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,18,1618,0
baseline,exp2,direct,off,0,16,4096,12,2,128,measure,19,1605,0
