mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,warmup,0,4008,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,warmup,1,3761,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,warmup,2,3764,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,warmup,3,3766,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,warmup,4,3937,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,0,3974,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,1,3941,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,2,3929,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,3,3981,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,4,3951,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,5,3948,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,6,3933,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,7,3952,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,8,3960,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,9,4000,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,10,3880,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,11,3874,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,12,3937,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,13,3895,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,14,3955,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,15,3811,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,16,3731,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,17,3802,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,18,3741,0
scna-fp16,exp2,direct,on,32,32,4096,12,2,128,measure,19,3908,0
