mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,warmup,0,1328,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,warmup,1,1336,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,warmup,2,1318,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,warmup,3,1329,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,warmup,4,1354,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,0,1319,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,1,1340,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,2,1335,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,3,1304,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,4,1320,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,5,1264,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,6,1444,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,7,1388,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,8,1449,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,9,1484,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,10,1459,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,11,1496,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,12,1511,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,13,1445,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,14,1423,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,15,1460,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,16,1501,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,17,1552,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,18,1498,0
scna-fp16,exp2,direct,off,8,8,4096,12,2,128,measure,19,1530,0
