mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,warmup,0,1217,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,warmup,1,1313,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,warmup,2,1310,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,warmup,3,1338,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,warmup,4,1319,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,0,1425,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,1,1305,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,2,1427,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,3,1313,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,4,1302,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,5,1379,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,6,1375,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,7,1491,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,8,1367,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,9,1496,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,10,1365,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,11,1491,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,12,1355,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,13,1493,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,14,1471,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,15,1366,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,16,1459,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,17,1402,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,18,1377,0
scna-fp16,exp2,tree,off,8,8,4096,12,2,128,measure,19,1461,0
