mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,warmup,0,917,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,warmup,1,932,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,warmup,2,815,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,warmup,3,822,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,warmup,4,816,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,0,818,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,1,891,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,2,825,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,3,815,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,4,813,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,5,816,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,6,817,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,7,815,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,8,819,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,9,821,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,10,818,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,11,812,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,12,819,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,13,815,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,14,968,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,15,986,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,16,909,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,17,949,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,18,945,0
scna-fp16,exp2,tree,on,8,8,4096,12,2,128,measure,19,942,0
