mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,off,16,4,4096,12,2,128,warmup,0,1089,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,warmup,1,1201,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,warmup,2,1205,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,warmup,3,1204,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,warmup,4,1197,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,0,1188,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,1,1193,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,2,1181,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,3,1184,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,4,1196,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,5,1083,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,6,1052,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,7,1088,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,8,1060,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,9,1102,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,10,1039,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,11,1030,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,12,1116,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,13,1060,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,14,1075,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,15,1110,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,16,1083,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,17,1059,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,18,1066,0
scna-int8,exp2,direct,off,16,4,4096,12,2,128,measure,19,1098,0
