mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,on,32,16,4096,12,2,128,warmup,0,1967,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,warmup,1,1873,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,warmup,2,1804,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,warmup,3,1828,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,warmup,4,1889,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,0,1889,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,1,1793,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,2,1823,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,3,1812,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,4,1809,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,5,1797,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,6,1919,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,7,1855,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,8,1887,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,9,1892,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,10,1881,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,11,1854,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,12,1884,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,13,1878,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,14,1949,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,15,1881,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,16,1873,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,17,1849,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,18,1880,0
scna-int8,exp2,direct,on,32,16,4096,12,2,128,measure,19,1915,0
