mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,off,16,32,4096,12,2,128,warmup,0,2737,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,warmup,1,2744,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,warmup,2,2870,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,warmup,3,2871,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,warmup,4,2792,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,0,2801,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,1,2878,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,2,2891,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,3,2787,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,4,2819,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,5,2923,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,6,2915,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,7,2923,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,8,2862,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,9,2838,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,10,2870,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,11,2917,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,12,2914,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,13,2913,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,14,2881,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,15,2840,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,16,2915,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,17,2872,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,18,2808,0
scna-int8,exp2,tree,off,16,32,4096,12,2,128,measure,19,2849,0
