mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,on,16,16,4096,12,2,128,warmup,0,1635,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,warmup,1,1414,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,warmup,2,1411,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,warmup,3,1412,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,warmup,4,1410,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,0,1469,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,1,1490,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,2,1485,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,3,1487,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,4,1450,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,5,1488,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,6,1484,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,7,1483,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,8,1516,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,9,1472,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,10,1538,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,11,1539,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,12,1596,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,13,1597,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,14,1493,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,15,1496,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,16,1477,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,17,1527,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,18,1475,0
scna-int8,exp2,tree,on,16,16,4096,12,2,128,measure,19,1475,0
