mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,off,16,32,4096,12,2,128,warmup,0,3167,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,warmup,1,3045,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,warmup,2,3074,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,warmup,3,3070,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,warmup,4,3194,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,0,3195,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,1,3193,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,2,3258,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,3,3245,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,4,3309,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,5,3223,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,6,3305,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,7,3306,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,8,3309,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,9,3300,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,10,3282,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,11,3253,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,12,3303,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,13,3296,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,14,3206,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,15,3179,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,16,3227,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,17,3283,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,18,3242,0
scna-fp16,exp,direct,off,16,32,4096,12,2,128,measure,19,3133,0
