mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,on,16,16,4096,12,2,128,warmup,0,1740,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,warmup,1,1526,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,warmup,2,1535,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,warmup,3,1536,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,warmup,4,1497,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,0,1522,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,1,1526,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,2,1523,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,3,1530,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,4,1527,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,5,1522,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,6,1558,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,7,1618,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,8,1614,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,9,1625,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,10,1530,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,11,1602,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,12,1596,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,13,1611,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,14,1597,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,15,1541,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,16,1632,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,17,1584,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,18,1564,0
scna-fp16,exp,direct,on,16,16,4096,12,2,128,measure,19,1631,0
