mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,off,8,4,4096,12,2,128,warmup,0,1224,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,warmup,1,1107,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,warmup,2,1096,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,warmup,3,1096,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,warmup,4,1000,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,0,1107,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,1,1005,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,2,1003,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,3,1117,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,4,1114,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,5,1090,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,6,1103,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,7,1094,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,8,1116,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,9,1206,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,10,1225,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,11,1220,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,12,1215,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,13,1175,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,14,1168,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,15,1176,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,16,1197,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,17,1212,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,18,1198,0
scna-fp16,exp,tree,off,8,4,4096,12,2,128,measure,19,1200,0
