mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,on,8,32,4096,12,2,128,warmup,0,2132,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,warmup,1,1971,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,warmup,2,1999,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,warmup,3,1975,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,warmup,4,1972,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,0,1973,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,1,1968,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,2,1979,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,3,2157,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,4,2252,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,5,2265,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,6,2250,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,7,2170,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,8,2143,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,9,2140,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,10,2123,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,11,2153,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,12,2120,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,13,2125,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,14,2137,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,15,2121,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,16,2048,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,17,2124,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,18,2132,0
scna-fp16,exp,tree,on,8,32,4096,12,2,128,measure,19,2127,0
