mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,off,32,32,4096,12,2,128,warmup,0,3509,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,warmup,1,3578,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,warmup,2,3565,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,warmup,3,3738,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,warmup,4,3733,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,0,3610,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,1,3647,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,2,3629,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,3,3616,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,4,3634,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,5,3688,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,6,3590,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,7,3603,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,8,3610,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,9,3568,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,10,3571,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,11,3575,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,12,3592,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,13,3643,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,14,3660,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,15,3589,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,16,3688,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,17,3595,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,18,3656,0
scna-int8,exp,direct,off,32,32,4096,12,2,128,measure,19,3635,0
