mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,on,32,4,4096,12,2,128,warmup,0,905,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,warmup,1,770,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,warmup,2,774,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,warmup,3,768,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,warmup,4,765,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,0,777,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,1,759,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,2,759,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,3,792,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,4,768,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,5,768,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,6,801,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,7,784,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,8,773,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,9,770,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,10,771,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,11,772,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,12,771,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,13,777,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,14,775,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,15,778,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,16,770,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,17,771,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,18,767,0
scna-int8,exp,direct,on,32,4,4096,12,2,128,measure,19,765,0
