mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,off,16,4,4096,12,2,128,warmup,0,1268,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,warmup,1,1142,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,warmup,2,1145,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,warmup,3,1150,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,warmup,4,1143,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,0,1001,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,1,1042,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,2,1029,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,3,1026,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,4,1026,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,5,1028,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,6,1026,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,7,1100,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,8,1078,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,9,1071,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,10,1059,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,11,1082,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,12,1074,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,13,1074,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,14,1073,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,15,1077,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,16,1075,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,17,1073,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,18,1076,0
scna-int8,exp,tree,off,16,4,4096,12,2,128,measure,19,1096,0
