mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,on,8,8,4096,12,2,128,warmup,0,1004,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,warmup,1,879,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,warmup,2,878,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,warmup,3,889,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,warmup,4,888,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,0,879,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,1,919,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,2,905,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,3,887,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,4,876,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,5,889,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,6,880,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,7,883,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,8,911,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,9,882,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,10,949,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,11,960,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,12,965,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,13,975,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,14,898,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,15,975,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,16,961,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,17,967,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,18,961,0
scna-int8,exp,tree,on,8,8,4096,12,2,128,measure,19,969,0
