mode,function,kernel,pipeline,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,o_scale,o_store,kv_dma_issue,kv_dma_wait,kv_transform,host_elapsed
baseline,none,none,off,0,4,0,824.0,161.0,0.0,2.0,334.0,317.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1141.0
baseline,none,none,off,0,4,1,814.0,159.0,0.0,2.0,334.0,309.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1141.0
baseline,none,none,off,0,4,2,806.0,161.0,0.0,2.0,327.0,306.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1143.0
baseline,none,none,off,0,4,3,802.0,163.0,0.0,2.0,325.0,302.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1146.0
baseline,none,none,off,0,4,4,803.0,160.0,0.0,2.0,310.0,320.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1142.0
baseline,none,none,off,0,4,5,808.0,160.0,0.0,2.0,327.0,308.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,1042.0
baseline,none,none,off,0,4,6,791.0,161.0,0.0,2.0,308.0,310.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1027.0
baseline,none,none,off,0,4,7,802.0,162.0,0.0,2.0,315.0,313.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1108.0
baseline,none,none,off,0,4,8,885.0,179.0,0.0,2.0,366.0,328.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1164.0
baseline,none,none,off,0,4,9,892.0,179.0,0.0,2.0,368.0,332.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1122.0
baseline,none,none,off,0,4,10,897.0,179.0,0.0,2.0,367.0,338.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1229.0
baseline,none,none,off,0,4,11,897.0,179.0,0.0,2.0,368.0,337.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1231.0
baseline,none,none,off,0,4,12,889.0,179.0,0.0,2.0,371.0,326.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1143.0
baseline,none,none,off,0,4,13,896.0,180.0,0.0,2.0,367.0,335.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1205.0
baseline,none,none,off,0,4,14,892.0,180.0,0.0,2.0,367.0,330.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,1145.0
baseline,none,none,off,0,4,15,879.0,178.0,0.0,2.0,367.0,322.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1218.0
baseline,none,none,off,0,4,16,892.0,176.0,0.0,2.0,366.0,336.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1209.0
baseline,none,none,off,0,4,17,892.0,177.0,0.0,2.0,378.0,322.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,1200.0
baseline,none,none,off,0,4,18,890.0,176.0,0.0,2.0,369.0,330.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,1197.0
baseline,none,none,off,0,4,19,893.0,177.0,0.0,2.0,367.0,336.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1216.0
baseline,none,none,off,0,8,0,955.0,311.0,0.0,4.0,323.0,297.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1261.0
baseline,none,none,off,0,8,1,949.0,312.0,0.0,4.0,326.0,287.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1221.0
baseline,none,none,off,0,8,2,942.0,309.0,0.0,4.0,308.0,300.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1252.0
baseline,none,none,off,0,8,3,948.0,309.0,0.0,4.0,311.0,303.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1260.0
baseline,none,none,off,0,8,4,943.0,310.0,0.0,4.0,302.0,306.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1242.0
baseline,none,none,off,0,8,5,951.0,311.0,0.0,4.0,324.0,291.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1235.0
baseline,none,none,off,0,8,6,981.0,310.0,0.0,4.0,324.0,322.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1344.0
baseline,none,none,off,0,8,7,1065.0,335.0,0.0,5.0,372.0,331.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1432.0
baseline,none,none,off,0,8,8,1068.0,337.0,0.0,4.0,375.0,331.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1341.0
baseline,none,none,off,0,8,9,1062.0,336.0,0.0,4.0,369.0,331.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1385.0
baseline,none,none,off,0,8,10,1053.0,331.0,0.0,4.0,372.0,324.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1309.0
baseline,none,none,off,0,8,11,1069.0,333.0,0.0,5.0,380.0,330.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1316.0
baseline,none,none,off,0,8,12,1065.0,334.0,0.0,4.0,375.0,331.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1315.0
baseline,none,none,off,0,8,13,1061.0,333.0,0.0,4.0,373.0,331.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1330.0
baseline,none,none,off,0,8,14,1057.0,333.0,0.0,4.0,365.0,334.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1304.0
baseline,none,none,off,0,8,15,1069.0,333.0,0.0,4.0,378.0,332.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1327.0
baseline,none,none,off,0,8,16,1060.0,333.0,0.0,4.0,366.0,335.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1348.0
baseline,none,none,off,0,8,17,1072.0,332.0,0.0,5.0,367.0,346.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,1313.0
baseline,none,none,off,0,8,18,1167.0,361.0,0.0,4.0,416.0,366.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1441.0
baseline,none,none,off,0,8,19,1173.0,362.0,0.0,4.0,416.0,370.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,1488.0
baseline,none,none,off,0,16,0,1259.0,613.0,0.0,8.0,315.0,288.0,12.0,9.0,3.0,11.0,0.0,0.0,0.0,1567.0
baseline,none,none,off,0,16,1,1258.0,612.0,0.0,8.0,318.0,286.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1565.0
baseline,none,none,off,0,16,2,1256.0,612.0,0.0,8.0,317.0,286.0,12.0,9.0,2.0,10.0,0.0,0.0,0.0,1591.0
baseline,none,none,off,0,16,3,1383.0,648.0,0.0,8.0,368.0,325.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1687.0
baseline,none,none,off,0,16,4,1414.0,651.0,0.0,8.0,383.0,337.0,12.0,10.0,3.0,10.0,0.0,0.0,0.0,1728.0
baseline,none,none,off,0,16,5,1399.0,645.0,0.0,7.0,381.0,332.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1683.0
baseline,none,none,off,0,16,6,1416.0,646.0,0.0,8.0,383.0,344.0,12.0,10.0,3.0,10.0,0.0,0.0,0.0,1729.0
baseline,none,none,off,0,16,7,1411.0,645.0,0.0,8.0,386.0,338.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1751.0
baseline,none,none,off,0,16,8,1414.0,646.0,0.0,8.0,381.0,345.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1749.0
baseline,none,none,off,0,16,9,1412.0,644.0,0.0,8.0,383.0,342.0,12.0,9.0,3.0,11.0,0.0,0.0,0.0,1752.0
baseline,none,none,off,0,16,10,1403.0,645.0,0.0,8.0,378.0,338.0,12.0,9.0,3.0,10.0,0.0,0.0,0.0,1739.0
baseline,none,none,off,0,16,11,1418.0,648.0,0.0,8.0,384.0,343.0,12.0,10.0,3.0,10.0,0.0,0.0,0.0,1673.0
baseline,none,none,off,0,16,12,1250.0,678.0,0.0,8.0,159.0,369.0,13.0,10.0,3.0,10.0,0.0,0.0,0.0,1633.0
baseline,none,none,off,0,16,13,1250.0,677.0,0.0,8.0,159.0,370.0,13.0,10.0,3.0,10.0,0.0,0.0,0.0,1614.0
baseline,none,none,off,0,16,14,1248.0,677.0,0.0,8.0,158.0,369.0,13.0,9.0,3.0,11.0,0.0,0.0,0.0,1520.0
baseline,none,none,off,0,16,15,1250.0,680.0,0.0,8.0,158.0,369.0,13.0,9.0,3.0,10.0,0.0,0.0,0.0,1611.0
baseline,none,none,off,0,16,16,1252.0,680.0,0.0,8.0,158.0,371.0,13.0,9.0,3.0,10.0,0.0,0.0,0.0,1619.0
baseline,none,none,off,0,16,17,1240.0,676.0,0.0,8.0,157.0,364.0,12.0,10.0,3.0,10.0,0.0,0.0,0.0,1569.0
baseline,none,none,off,0,16,18,1249.0,679.0,0.0,8.0,156.0,370.0,13.0,10.0,3.0,10.0,0.0,0.0,0.0,1618.0
baseline,none,none,off,0,16,19,1243.0,677.0,0.0,7.0,156.0,370.0,12.0,9.0,2.0,10.0,0.0,0.0,0.0,1605.0
baseline,none,none,off,0,32,0,1994.0,1231.0,0.0,16.0,351.0,327.0,24.0,21.0,3.0,21.0,0.0,0.0,0.0,2284.0
baseline,none,none,off,0,32,1,1992.0,1230.0,0.0,16.0,350.0,327.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2281.0
baseline,none,none,off,0,32,2,1989.0,1233.0,0.0,16.0,343.0,327.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2280.0
baseline,none,none,off,0,32,3,1995.0,1280.0,0.0,16.0,249.0,380.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2301.0
baseline,none,none,off,0,32,4,1935.0,1317.0,0.0,16.0,160.0,372.0,24.0,20.0,4.0,22.0,0.0,0.0,0.0,2239.0
baseline,none,none,off,0,32,5,1928.0,1309.0,0.0,16.0,159.0,375.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2251.0
baseline,none,none,off,0,32,6,1929.0,1314.0,0.0,16.0,157.0,372.0,25.0,20.0,3.0,22.0,0.0,0.0,0.0,2287.0
baseline,none,none,off,0,32,7,1935.0,1311.0,0.0,16.0,156.0,381.0,25.0,21.0,3.0,22.0,0.0,0.0,0.0,2272.0
baseline,none,none,off,0,32,8,2017.0,1304.0,0.0,16.0,258.0,370.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2367.0
baseline,none,none,off,0,32,9,2050.0,1305.0,0.0,16.0,288.0,372.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2393.0
baseline,none,none,off,0,32,10,2015.0,1308.0,0.0,16.0,253.0,369.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2320.0
baseline,none,none,off,0,32,11,2045.0,1307.0,0.0,16.0,285.0,367.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2389.0
baseline,none,none,off,0,32,12,2177.0,1303.0,0.0,16.0,423.0,364.0,25.0,21.0,3.0,22.0,0.0,0.0,0.0,2560.0
baseline,none,none,off,0,32,13,2134.0,1282.0,0.0,16.0,417.0,349.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2491.0
baseline,none,none,off,0,32,14,2077.0,1272.0,0.0,15.0,390.0,331.0,24.0,20.0,3.0,22.0,0.0,0.0,0.0,2396.0
baseline,none,none,off,0,32,15,2018.0,1265.0,0.0,15.0,358.0,310.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2370.0
baseline,none,none,off,0,32,16,1964.0,1255.0,0.0,15.0,327.0,296.0,24.0,21.0,4.0,22.0,0.0,0.0,0.0,2302.0
baseline,none,none,off,0,32,17,1918.0,1246.0,0.0,15.0,307.0,280.0,24.0,20.0,4.0,22.0,0.0,0.0,0.0,2304.0
baseline,none,none,off,0,32,18,1958.0,1268.0,0.0,16.0,306.0,298.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2337.0
baseline,none,none,off,0,32,19,1954.0,1272.0,0.0,16.0,301.0,295.0,24.0,21.0,3.0,22.0,0.0,0.0,0.0,2281.0
scna-fp16,exp,direct,off,8,4,0,787.0,205.0,162.0,2.0,302.0,266.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1098.0
scna-fp16,exp,direct,off,8,4,1,789.0,204.0,163.0,2.0,296.0,276.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1108.0
scna-fp16,exp,direct,off,8,4,2,775.0,205.0,162.0,2.0,289.0,269.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1099.0
scna-fp16,exp,direct,off,8,4,3,772.0,205.0,163.0,2.0,293.0,263.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1100.0
scna-fp16,exp,direct,off,8,4,4,792.0,204.0,162.0,2.0,305.0,269.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1092.0
scna-fp16,exp,direct,off,8,4,5,788.0,203.0,162.0,2.0,304.0,268.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1109.0
scna-fp16,exp,direct,off,8,4,6,782.0,204.0,162.0,2.0,299.0,267.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1096.0
scna-fp16,exp,direct,off,8,4,7,784.0,205.0,164.0,2.0,299.0,267.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1102.0
scna-fp16,exp,direct,off,8,4,8,767.0,204.0,162.0,2.0,290.0,260.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1109.0
scna-fp16,exp,direct,off,8,4,9,770.0,205.0,163.0,2.0,290.0,262.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1094.0
scna-fp16,exp,direct,off,8,4,10,799.0,206.0,162.0,2.0,296.0,284.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1073.0
scna-fp16,exp,direct,off,8,4,11,871.0,216.0,164.0,3.0,339.0,301.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1209.0
scna-fp16,exp,direct,off,8,4,12,878.0,216.0,164.0,2.0,334.0,315.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1170.0
scna-fp16,exp,direct,off,8,4,13,881.0,215.0,164.0,2.0,344.0,308.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1152.0
scna-fp16,exp,direct,off,8,4,14,879.0,217.0,165.0,3.0,329.0,318.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1226.0
scna-fp16,exp,direct,off,8,4,15,872.0,214.0,164.0,3.0,327.0,317.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1222.0
scna-fp16,exp,direct,off,8,4,16,874.0,215.0,164.0,2.0,329.0,317.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1216.0
scna-fp16,exp,direct,off,8,4,17,868.0,217.0,166.0,2.0,333.0,305.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,1230.0
scna-fp16,exp,direct,off,8,4,18,870.0,216.0,164.0,3.0,331.0,308.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1190.0
scna-fp16,exp,direct,off,8,4,19,875.0,216.0,164.0,2.0,329.0,316.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,1214.0
scna-fp16,exp,direct,off,8,8,0,973.0,405.0,316.0,4.0,284.0,256.0,10.0,6.0,2.0,6.0,0.0,0.0,0.0,1309.0
