mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
baseline,none,none,off,0,4,20,887.0,887.0,897.0,811.0,892.0,1145.5,1229.1,1141.5,1202.5,176.5,0.0,2.0,366.5,324.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,690.5,258.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,8,20,1060.5,1060.5,1167.3,968.0,1066.5,1315.5,1443.3500000000001,1282.5,1342.5,333.0,0.0,4.0,368.0,331.0,8.0,6.0,1.0,6.0,0.0,0.0,0.0,699.0,255.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,16,20,1258.5,1258.5,1416.1,1250.0,1407.0,1626.0,1751.05,1605.0,1707.5,648.0,0.0,8.0,317.5,343.5,12.0,9.0,3.0,10.0,0.0,0.0,0.0,661.0,367.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,32,20,1993.0,1993.0,2136.15,1956.0,2017.5,2303.0,2494.4500000000003,2282.5,2368.5,1281.0,0.0,16.0,303.5,356.5,24.0,21.0,3.0,22.0,0.0,0.0,0.0,660.0,310.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,8,4,20,795.5,795.5,879.1,785.5,871.5,1109.0,1226.2,1099.5,1199.5,205.5,163.5,2.0,304.5,280.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,584.5,313.5,20.55311125078567,1.115021998742929,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,8,8,20,973.0,973.0,983.0,972.0,975.0,1232.5,1323.65,1223.5,1286.0,403.5,316.0,4.0,284.0,257.0,9.0,6.0,2.0,6.0,0.0,0.0,0.0,541.0,259.5,32.476875642343266,1.089928057553957,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,8,16,20,1560.5,1560.5,1588.45,1557.0,1566.0,1868.0,1959.25,1826.5,1888.0,816.5,626.0,8.0,371.5,328.0,13.0,12.0,2.0,10.0,0.0,0.0,0.0,699.5,307.5,40.11534764498558,0.806472284524191,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,8,32,20,2420.0,2420.0,2443.05,2413.0,2429.0,2759.0,2795.2,2729.5,2783.0,1615.0,1243.0,16.0,388.5,329.0,26.0,23.0,3.0,22.0,0.0,0.0,0.0,717.5,339.0,51.36363636363637,0.8235537190082645,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,16,4,20,932.0,932.0,957.05,872.0,942.5,1188.5,1228.05,1172.0,1199.0,270.5,225.0,2.0,318.0,317.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,635.0,256.5,24.141630901287552,0.9517167381974249,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,direct,off,16,8,20,1220.0,1220.0,1270.65,1209.0,1260.5,1512.5,1617.2,1509.5,1570.0,526.0,439.0,4.0,341.5,332.0,9.0,7.0,2.0,6.0,0.0,0.0,0.0,673.5,292.5,35.98360655737705,0.8692622950819672,1.0,1.0,1.0,1.0,1.0,1.0
