mode,function,kernel,pipeline,width,mask_mode,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,ret
baseline,exp2,direct,on,0,causal,4093,128,0.00137088,0.00621134,0,0,0
baseline,exp2,direct,on,0,full,4093,128,0.00136382,0.00611544,0,0,0
baseline,exp2,direct,on,0,full,4096,64,0.000511433,0.00148368,0,0,0
baseline,exp2,direct,on,0,padding,4093,128,0.00137799,0.00620718,0,0,0
lut-exp,exp2,direct,on,0,causal,4093,128,0.000694763,0.00150272,0,0,0
lut-exp,exp2,direct,on,0,full,4093,128,0.000674378,0.00141814,0,0,0
lut-exp,exp2,direct,on,0,full,4096,64,0.000338076,0.000875712,0,0,0
lut-exp,exp2,direct,on,0,padding,4093,128,0.000713153,0.0015173,0,0,0
scna-fp16,exp,tree,on,8,causal,4093,128,0.00067633,0.00135807,0,0,0
scna-fp16,exp,tree,on,8,full,4093,128,0.00065682,0.00127025,0,0,0
scna-fp16,exp,tree,on,8,full,4096,64,0.000318474,0.000690441,0,0,0
scna-fp16,exp,tree,on,8,padding,4093,128,0.000694149,0.00136951,0,0,0
