mode,function,kernel,width,mask_mode,kv_len,head_dim,p0_first_bits,p0_last_bits,requires_zero,gate
baseline,exp2,direct,16,causal,4093,128,0x3ab8,0x0,1,pass
baseline,exp2,direct,16,causal,4093,128,0x3ab8,0x0,1,pass
baseline,exp2,direct,16,full,4093,128,0x3ab8,0x0,1,pass
baseline,exp2,direct,16,full,4093,128,0x3ab8,0x0,1,pass
baseline,exp2,direct,16,full,4096,64,0x3b5e,0x3b01,0,pass
baseline,exp2,direct,16,full,4096,64,0x3b5e,0x3b01,0,pass
baseline,exp2,direct,16,padding,4093,128,0x3ab8,0x0,1,pass
baseline,exp2,direct,16,padding,4093,128,0x3ab8,0x0,1,pass
lut-exp,exp2,direct,16,causal,4093,128,0x3a92,0x0,1,pass
lut-exp,exp2,direct,16,causal,4093,128,0x3a92,0x0,1,pass
lut-exp,exp2,direct,16,full,4093,128,0x3a92,0x0,1,pass
lut-exp,exp2,direct,16,full,4093,128,0x3a92,0x0,1,pass
lut-exp,exp2,direct,16,full,4096,64,0x3995,0x3a27,0,pass
lut-exp,exp2,direct,16,full,4096,64,0x3995,0x3a27,0,pass
lut-exp,exp2,direct,16,padding,4093,128,0x3a92,0x0,1,pass
lut-exp,exp2,direct,16,padding,4093,128,0x3a92,0x0,1,pass
scna-fp16,exp,tree,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4096,64,0x3ade,0x3b2d,0,pass
scna-fp16,exp,tree,8,full,4096,64,0x3ade,0x3b2d,0,pass
scna-fp16,exp,tree,8,padding,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,padding,4093,128,0x3b62,0x0,1,pass
