mode,function,kernel,width,mask_mode,kv_len,head_dim,byte_mismatches,rmse,max_abs_error,candidate_nonfinite,alternate_nonfinite,gate,ret
baseline,exp2,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
baseline,exp2,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
baseline,exp2,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
baseline,exp2,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
lut-exp,exp2,direct,16,causal,4093,128,0,0.0,0.0,0,0,pass,0
lut-exp,exp2,direct,16,full,4093,128,0,0.0,0.0,0,0,pass,0
lut-exp,exp2,direct,16,full,4096,64,0,0.0,0.0,0,0,pass,0
lut-exp,exp2,direct,16,padding,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,causal,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,full,4093,128,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,full,4096,64,0,0.0,0.0,0,0,pass,0
scna-fp16,exp,tree,8,padding,4093,128,0,0.0,0.0,0,0,pass,0
