mode,function,kernel,pipeline,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,o_scale,o_store,kv_dma_issue,kv_dma_wait,kv_transform,host_elapsed
baseline,none,none,off,0,4,0,800.0,163.0,0.0,2.0,312.0,312.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1124.0
baseline,none,none,off,0,4,1,789.0,162.0,0.0,2.0,314.0,300.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1062.0
baseline,none,none,off,0,4,2,805.0,167.0,0.0,2.0,329.0,296.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1070.0
baseline,none,none,off,0,4,3,813.0,164.0,0.0,2.0,322.0,314.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1070.0
baseline,none,none,off,0,4,4,816.0,164.0,0.0,2.0,328.0,311.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1065.0
baseline,none,none,off,0,4,5,805.0,162.0,0.0,2.0,332.0,298.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1071.0
baseline,none,none,off,0,4,6,859.0,177.0,0.0,2.0,355.0,315.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1122.0
baseline,none,none,off,0,4,7,863.0,176.0,0.0,2.0,361.0,314.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1208.0
baseline,none,none,off,0,4,8,871.0,176.0,0.0,2.0,364.0,318.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1206.0
baseline,none,none,off,0,4,9,865.0,176.0,0.0,2.0,362.0,315.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1105.0
baseline,none,none,off,0,4,10,870.0,177.0,0.0,2.0,364.0,315.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1172.0
baseline,none,none,off,0,4,11,854.0,176.0,0.0,3.0,357.0,308.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1206.0
baseline,none,none,off,0,4,12,857.0,176.0,0.0,3.0,353.0,315.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1129.0
baseline,none,none,off,0,4,13,863.0,176.0,0.0,2.0,358.0,316.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1191.0
baseline,none,none,off,0,4,14,868.0,176.0,0.0,2.0,365.0,313.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1228.0
baseline,none,none,off,0,4,15,847.0,176.0,0.0,3.0,351.0,306.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1206.0
baseline,none,none,off,0,4,16,856.0,176.0,0.0,3.0,356.0,310.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1213.0
baseline,none,none,off,0,4,17,852.0,177.0,0.0,3.0,350.0,312.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1127.0
baseline,none,none,off,0,4,18,862.0,176.0,0.0,2.0,354.0,318.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1103.0
baseline,none,none,off,0,4,19,955.0,199.0,0.0,2.0,399.0,343.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1299.0
baseline,none,none,off,0,4,100,892.0,185.0,0.0,2.0,367.0,326.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1209.0
baseline,none,none,off,0,4,101,874.0,184.0,0.0,2.0,356.0,320.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1268.0
baseline,none,none,off,0,4,102,885.0,181.0,0.0,2.0,356.0,334.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1241.0
baseline,none,none,off,0,4,103,883.0,183.0,0.0,2.0,354.0,332.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1174.0
baseline,none,none,off,0,4,104,878.0,183.0,0.0,2.0,356.0,325.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1226.0
baseline,none,none,off,0,4,105,872.0,182.0,0.0,2.0,350.0,326.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1207.0
baseline,none,none,off,0,4,106,875.0,182.0,0.0,2.0,345.0,334.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1192.0
baseline,none,none,off,0,4,107,872.0,182.0,0.0,2.0,345.0,331.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1195.0
baseline,none,none,off,0,4,108,875.0,182.0,0.0,2.0,346.0,333.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1189.0
baseline,none,none,off,0,4,109,872.0,182.0,0.0,2.0,348.0,328.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1197.0
baseline,none,none,off,0,4,110,874.0,182.0,0.0,2.0,348.0,330.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1191.0
baseline,none,none,off,0,4,111,873.0,182.0,0.0,2.0,346.0,332.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,1186.0
baseline,none,none,off,0,4,112,866.0,182.0,0.0,2.0,343.0,327.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1109.0
baseline,none,none,off,0,4,113,869.0,182.0,0.0,2.0,347.0,326.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1172.0
baseline,none,none,off,0,4,114,875.0,183.0,0.0,2.0,355.0,323.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1174.0
baseline,none,none,off,0,4,115,869.0,181.0,0.0,2.0,342.0,332.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1116.0
baseline,none,none,off,0,4,116,891.0,181.0,0.0,2.0,369.0,328.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,1177.0
baseline,none,none,off,0,4,117,893.0,181.0,0.0,2.0,373.0,325.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1178.0
baseline,none,none,off,0,4,118,892.0,183.0,0.0,2.0,364.0,331.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1175.0
baseline,none,none,off,0,4,119,896.0,182.0,0.0,2.0,369.0,331.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1174.0
baseline,none,none,off,0,8,0,818.0,343.0,0.0,4.0,131.0,320.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1083.0
baseline,none,none,off,0,8,1,818.0,340.0,0.0,4.0,131.0,322.0,8.0,5.0,2.0,6.0,0.0,0.0,0.0,1087.0
baseline,none,none,off,0,8,2,819.0,342.0,0.0,4.0,131.0,321.0,8.0,5.0,2.0,6.0,0.0,0.0,0.0,1098.0
baseline,none,none,off,0,8,3,815.0,338.0,0.0,4.0,130.0,324.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1114.0
baseline,none,none,off,0,8,4,820.0,342.0,0.0,4.0,130.0,324.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1093.0
baseline,none,none,off,0,8,5,822.0,341.0,0.0,4.0,130.0,327.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1095.0
baseline,none,none,off,0,8,6,818.0,340.0,0.0,4.0,130.0,324.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1174.0
baseline,none,none,off,0,8,7,899.0,335.0,0.0,4.0,212.0,329.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1231.0
baseline,none,none,off,0,8,8,904.0,334.0,0.0,4.0,220.0,326.0,8.0,4.0,2.0,6.0,0.0,0.0,0.0,1215.0
baseline,none,none,off,0,8,9,952.0,335.0,0.0,4.0,266.0,326.0,8.0,5.0,2.0,6.0,0.0,0.0,0.0,1209.0
baseline,none,none,off,0,8,10,940.0,335.0,0.0,4.0,253.0,329.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1237.0
baseline,none,none,off,0,8,11,924.0,370.0,0.0,4.0,170.0,360.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,1228.0
baseline,none,none,off,0,8,12,922.0,370.0,0.0,4.0,169.0,360.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1195.0
baseline,none,none,off,0,8,13,920.0,369.0,0.0,4.0,169.0,359.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1193.0
baseline,none,none,off,0,8,14,916.0,366.0,0.0,4.0,169.0,358.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1176.0
