mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
baseline,none,none,off,0,4,40,869.5,869.5,893.15,863.0,873.5,1177.5,1242.35,1172.0,1193.0,181.0,0.0,2.0,354.0,321.5,4.0,2.0,2.0,4.0,0.0,0.0,0.0,675.5,308.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,8,40,983.5,983.5,1086.45,919.0,1025.0,1272.0,1433.05,1223.0,1322.0124999999998,340.0,0.0,4.0,300.0,329.0,8.0,4.5,2.0,6.0,0.0,0.0,0.0,629.0,288.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,16,40,1403.5,1403.5,1543.0,1393.5,1413.0,1733.0,1889.05,1681.7875,1749.0,648.0,0.0,8.0,375.5,335.0,12.0,10.0,3.0,11.0,0.0,0.0,0.0,710.5,329.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,32,40,2057.0,2057.0,2084.4,2047.0,2066.5,2390.5,2449.35,2379.0,2400.0,1263.5,0.0,16.0,377.5,326.5,24.0,23.0,3.0,22.0,0.0,0.0,0.0,704.0,333.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,on,0,4,40,522.5,522.5,547.1,496.5,535.0,784.0,829.15,714.5,788.0,167.5,0.0,1.0,177.0,167.5,3.0,0.0,0.0,4.0,9.0,139.5,190.0,344.5,261.5,0.0,1.6641148325358852,1.6641148325358852,1.6228835525714809,1.7527638190954773,1.5019132653061225,1.4901462174189446,1.6516308119361554
baseline,none,none,on,0,8,40,561.0,561.0,691.0,559.0,659.0,780.0,991.15,773.0,862.0,302.0,0.0,3.0,133.0,103.0,8.0,4.0,2.0,5.0,9.0,27.0,191.0,236.0,219.0,0.0,1.7531194295900179,1.7531194295900179,1.4756195043964828,1.8248436103663985,1.6307692307692307,1.4491723744292238,1.6879432624113475
baseline,none,none,on,0,16,40,987.5,987.5,1164.15,919.5,1032.0,1222.0,1438.4999999999998,1161.5,1302.0,627.5,0.0,8.0,165.0,153.0,12.0,8.0,3.0,10.0,9.0,111.0,191.0,318.0,234.5,0.0,1.42126582278481,1.42126582278481,1.3601941747572817,1.5183652947682293,1.4181669394435352,1.3211538461538461,1.4822769760112462
baseline,none,none,on,0,32,40,1639.0,1639.0,1702.0,1624.0,1670.0249999999999,1947.0,2021.2,1902.0,1981.0,1251.0,0.0,14.0,153.0,150.0,23.0,20.0,4.0,21.0,9.0,91.5,190.0,303.0,308.0,0.0,1.25503355704698,1.25503355704698,1.2296372828848585,1.2686383240911892,1.2277863379558296,1.2042303157761691,1.2549801841950143
lut-exp,none,none,off,0,4,40,800.0,800.0,821.05,697.5,811.0,1068.5,1141.95,1033.0,1096.5,113.5,0.0,2.0,346.0,327.5,4.0,2.0,2.0,4.0,0.0,0.0,0.0,673.5,268.5,0.0,1.086875,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,8,40,878.5,878.5,911.2,770.0,900.0,1152.0,1242.3,1109.0,1186.0,193.0,0.0,4.0,332.5,324.0,8.0,6.0,3.0,6.0,0.0,0.0,0.0,656.5,273.5,0.0,1.1195219123505975,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,16,40,1082.0,1082.0,1114.05,1022.0,1091.0,1400.0,1456.2,1343.0,1432.0,359.5,0.0,8.0,357.0,333.0,12.0,10.0,2.0,11.0,0.0,0.0,0.0,690.0,318.0,0.0,1.2971349353049908,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,32,40,1449.5,1449.5,1480.0,1429.0,1457.5,1766.0,1872.35,1741.5,1789.0,670.5,0.0,14.0,369.0,325.0,24.0,21.0,4.0,22.0,0.0,0.0,0.0,694.0,316.5,0.0,1.4191100379441186,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,on,0,4,40,312.0,312.0,317.05,311.0,313.0,553.5,578.35,550.0,561.5,71.0,0.0,2.0,131.0,102.0,3.0,0.0,0.0,4.0,9.0,25.0,192.0,233.0,241.5,0.0,2.7868589743589745,2.5641025641025643,2.2332268370607027,2.5993589743589745,1.930442637759711,1.8493541697395677,1.9818676337262013
lut-exp,none,none,on,0,8,40,456.0,456.0,488.29999999999995,404.5,480.0,737.5,759.1,681.5,748.5,157.5,0.0,3.5,144.0,131.5,8.0,4.0,2.0,5.0,9.0,70.5,191.0,275.5,281.5,0.0,2.156798245614035,1.9265350877192982,1.6290364202140084,2.1455698320437127,1.5620338983050848,1.4973189448872735,1.7225475841874085
lut-exp,none,none,on,0,16,40,708.5,708.5,751.5,703.5,712.0,935.0,1061.2,926.5,959.5,323.0,0.0,8.0,177.0,167.0,12.0,8.0,3.0,10.0,9.0,138.0,190.0,344.0,226.5,0.0,1.9809456598447424,1.5271700776287933,1.4443481049300766,1.5461647727272727,1.4973262032085561,1.4262732420054427,1.538751345532831
lut-exp,none,none,on,0,32,40,999.5,999.5,1070.15,912.0,1011.0,1263.0,1375.1,1216.0,1306.5,630.5,0.0,14.0,146.0,137.5,23.0,20.0,4.0,20.0,9.0,78.5,191.0,283.5,263.5,0.0,2.0580290145072535,1.4502251125562782,1.4212604813016678,1.5908121145812613,1.3982581155977831,1.3541810102188638,1.456046784484813
scna-fp16,exp,tree,off,8,4,40,917.5,917.5,1070.0,895.0,941.0,1234.5,1357.1,1213.5,1254.0,216.0,156.5,2.0,365.0,327.0,4.0,3.0,1.5,3.0,0.0,0.0,0.0,692.0,317.0,17.057220708446867,0.9476839237057221,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,tree,off,8,8,40,1070.0,1070.0,1108.55,964.0,1093.0,1358.0,1454.7,1321.0,1403.0,386.5,282.0,4.0,340.0,315.0,8.0,7.0,2.0,6.0,0.0,0.0,0.0,655.0,288.0,26.35514018691589,0.9191588785046729,1.0,1.0,1.0,1.0,1.0,1.0
