mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,iteration,record_count,profiled_total,q_load,k_load,v_load,qk_dot,safe_sm,core_acc,o_scale,o_store,q_load_pct,k_load_pct,v_load_pct,qk_dot_pct,safe_sm_pct,core_acc_pct,o_scale_pct,o_store_pct
lut-exp,4,4096,12,2,128,0,2,481,2,183,180,3,103,4,2,4,0.4158004158004158,38.04573804573805,37.42203742203743,0.6237006237006237,21.413721413721415,0.8316008316008316,0.4158004158004158,0.8316008316008316
lut-exp,4,4096,12,2,128,1,2,493,2,190,181,4,106,5,1,4,0.4056795131845842,38.5395537525355,36.71399594320487,0.8113590263691683,21.50101419878296,1.0141987829614605,0.2028397565922921,0.8113590263691683
lut-exp,4,4096,12,2,128,2,2,462,2,174,176,2,99,2,2,5,0.4329004329004329,37.66233766233766,38.095238095238095,0.4329004329004329,21.428571428571427,0.4329004329004329,0.4329004329004329,1.0822510822510822
lut-exp,4,4096,12,2,128,3,2,483,2,194,169,3,102,5,4,4,0.4140786749482402,40.165631469979296,34.989648033126294,0.6211180124223602,21.11801242236025,1.0351966873706004,0.8281573498964804,0.8281573498964804
lut-exp,4,4096,12,2,128,4,2,493,2,183,187,3,104,4,4,6,0.4056795131845842,37.11967545638945,37.93103448275862,0.6085192697768762,21.095334685598377,0.8113590263691683,0.8113590263691683,1.2170385395537524
lut-exp,4,4096,12,2,128,5,2,476,2,180,175,4,106,5,1,3,0.42016806722689076,37.81512605042017,36.76470588235294,0.8403361344537815,22.268907563025213,1.050420168067227,0.21008403361344538,0.6302521008403361
lut-exp,4,4096,12,2,128,6,2,472,2,182,174,2,102,3,3,4,0.423728813559322,38.559322033898304,36.86440677966102,0.423728813559322,21.610169491525426,0.6355932203389831,0.6355932203389831,0.847457627118644
lut-exp,4,4096,12,2,128,7,2,487,2,190,177,3,105,4,2,4,0.41067761806981523,39.01437371663244,36.34496919917864,0.6160164271047228,21.560574948665298,0.8213552361396305,0.41067761806981523,0.8213552361396305
lut-exp,4,4096,12,2,128,8,2,487,2,188,184,3,101,3,2,4,0.41067761806981523,38.60369609856263,37.782340862423,0.6160164271047228,20.739219712525667,0.6160164271047228,0.41067761806981523,0.8213552361396305
lut-exp,4,4096,12,2,128,9,2,485,2,184,183,4,103,4,1,4,0.4123711340206186,37.93814432989691,37.7319587628866,0.8247422680412372,21.237113402061855,0.8247422680412372,0.2061855670103093,0.8247422680412372
lut-exp,4,4096,12,2,128,10,2,480,2,176,183,3,106,4,2,4,0.4166666666666667,36.666666666666664,38.125,0.625,22.083333333333332,0.8333333333333334,0.4166666666666667,0.8333333333333334
lut-exp,4,4096,12,2,128,11,2,486,2,185,182,4,103,4,2,4,0.411522633744856,38.065843621399175,37.4485596707819,0.823045267489712,21.193415637860085,0.823045267489712,0.411522633744856,0.823045267489712
lut-exp,4,4096,12,2,128,12,2,486,2,184,183,4,101,5,3,4,0.411522633744856,37.86008230452675,37.65432098765432,0.823045267489712,20.781893004115226,1.02880658436214,0.6172839506172839,0.823045267489712
lut-exp,4,4096,12,2,128,13,2,496,2,195,182,4,103,4,2,4,0.4032258064516129,39.314516129032256,36.693548387096776,0.8064516129032258,20.766129032258064,0.8064516129032258,0.4032258064516129,0.8064516129032258
lut-exp,4,4096,12,2,128,14,2,489,2,178,194,3,102,4,2,4,0.408997955010225,36.400817995910025,39.672801635991824,0.6134969325153374,20.858895705521473,0.81799591002045,0.408997955010225,0.81799591002045
lut-exp,4,4096,12,2,128,15,2,498,2,176,203,3,104,4,2,4,0.4016064257028112,35.34136546184739,40.76305220883534,0.6024096385542169,20.883534136546185,0.8032128514056224,0.4016064257028112,0.8032128514056224
lut-exp,4,4096,12,2,128,16,2,500,2,189,192,3,104,4,2,4,0.4,37.8,38.4,0.6,20.8,0.8,0.4,0.8
lut-exp,4,4096,12,2,128,17,2,472,2,174,179,3,102,4,2,6,0.423728813559322,36.86440677966102,37.92372881355932,0.6355932203389831,21.610169491525426,0.847457627118644,0.423728813559322,1.2711864406779663
lut-exp,4,4096,12,2,128,18,2,485,2,178,196,5,97,4,0,3,0.4123711340206186,36.70103092783505,40.41237113402062,1.0309278350515463,20.0,0.8247422680412372,0.0,0.6185567010309279
lut-exp,4,4096,12,2,128,19,2,491,2,182,195,2,101,3,2,4,0.40733197556008144,37.06720977596741,39.71486761710794,0.40733197556008144,20.570264765784113,0.6109979633401221,0.40733197556008144,0.8146639511201629
lut-exp,8,4096,12,2,128,0,2,624,4,182,200,8,215,8,1,6,0.641025641025641,29.166666666666668,32.05128205128205,1.282051282051282,34.455128205128204,1.282051282051282,0.16025641025641024,0.9615384615384616
