mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,warmup,0,1373,36,1371,34,1369,2,13,0,0,0,7,69,1172,10,1259,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,warmup,1,1379,42,1376,40,1373,3,13,0,0,0,7,70,1178,9,1264,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,warmup,2,1377,44,1374,42,1368,6,13,0,0,0,8,70,1170,10,1258,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,warmup,3,1295,58,1293,56,1291,2,12,0,0,0,7,69,1178,9,1264,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,warmup,4,1372,63,1368,61,1366,2,13,0,0,0,8,69,1168,11,1256,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,0,1381,42,1378,40,1375,3,13,0,0,0,7,70,1176,10,1263,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,1,1378,43,1375,41,1373,2,13,0,0,0,7,70,1176,9,1262,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,2,1298,41,1295,38,1289,6,12,0,0,0,8,69,1176,9,1262,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,3,1378,39,1375,37,1374,1,13,0,0,0,7,70,1173,10,1260,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,4,1369,41,1366,39,1364,2,13,0,0,0,7,70,1175,10,1262,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,5,1375,44,1372,42,1369,3,13,0,0,0,7,70,1173,10,1260,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,6,1375,41,1372,39,1366,6,13,0,0,0,7,70,1180,10,1267,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,7,1378,41,1375,39,1372,3,13,0,0,0,7,70,1175,9,1261,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,8,1305,54,1302,52,1298,4,12,0,0,0,7,69,1170,9,1256,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,9,1376,39,1373,37,1370,3,13,0,0,0,8,70,1176,10,1264,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,10,1376,40,1373,39,1371,2,13,0,0,0,7,70,1178,9,1264,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,11,1375,40,1372,39,1370,2,13,0,0,0,7,69,1180,9,1266,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,12,1267,35,1264,33,1263,1,12,0,0,0,7,69,1168,9,1254,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,13,1281,75,1278,73,1275,3,12,0,0,0,7,69,1176,9,1262,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,14,1370,40,1367,38,1365,2,13,0,0,0,7,70,1180,9,1266,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,15,1373,40,1370,38,1366,4,13,0,0,0,8,69,1182,9,1268,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,16,1369,39,1367,37,1364,3,13,0,0,0,7,70,1180,9,1266,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,17,1367,35,1364,33,1363,1,13,0,0,0,7,70,1178,10,1265,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,18,1371,32,1368,30,1366,2,13,0,0,0,7,69,1184,9,1270,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,8,4096,12,2,128,measure,19,1366,34,1364,32,1362,2,13,0,0,0,7,69,1180,10,1267,541717b1f7dc7b1c,0
