mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,warmup,0,1350,98,1347,96,1255,92,12997,1287,60,1,9,69,1251,9,1339,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,warmup,1,1358,89,1355,87,1272,83,11711,1303,52,1,8,70,1259,9,1346,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,warmup,2,1353,87,1350,85,1267,83,11603,1303,47,1,9,69,1253,9,1341,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,warmup,3,1353,87,1350,85,1268,82,11732,1303,47,1,8,69,1253,10,1341,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,warmup,4,1354,42,1351,40,1316,35,5020,1347,4,1,9,70,1254,10,1343,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,0,1353,10,1350,8,1346,4,363,1347,3,1,8,70,1253,10,1341,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,1,1349,39,1346,37,1314,32,4566,1347,-1,1,9,69,1251,9,1338,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,2,1346,36,1344,34,1314,30,4187,1347,-3,1,8,70,1248,9,1335,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,3,1322,6,1319,4,1318,1,1,1347,-28,1,8,69,1221,10,1309,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,4,1341,25,1338,23,1320,18,2499,1347,-9,1,8,70,1241,9,1328,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,5,1348,35,1344,33,1315,29,4012,1347,-3,1,8,70,1248,10,1336,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,6,1348,36,1344,34,1314,30,4295,1347,-3,1,8,69,1248,9,1335,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,7,1341,27,1338,25,1316,22,2971,1347,-9,1,8,69,1241,10,1329,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,8,1341,27,1338,25,1317,21,2808,1347,-9,1,8,70,1241,10,1329,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,9,1342,29,1339,26,1317,22,3073,1347,-8,1,9,70,1242,9,1330,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,10,1335,20,1332,18,1318,14,1799,1347,-15,1,8,70,1235,10,1323,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,11,1342,26,1339,24,1318,21,2758,1347,-8,1,9,70,1241,10,1330,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,12,1341,25,1338,23,1318,20,2734,1347,-9,1,8,70,1240,10,1328,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,13,1335,20,1332,19,1317,15,1969,1347,-15,1,9,69,1235,10,1324,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,14,1336,21,1332,19,1318,14,1943,1347,-15,1,8,70,1237,9,1324,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,15,1338,24,1335,22,1317,18,2410,1347,-12,1,8,70,1239,9,1327,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,16,1341,17,1338,16,1318,20,651,1347,-9,1,8,70,1243,9,1330,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,17,1341,27,1338,25,1318,20,2754,1347,-9,1,8,69,1242,9,1329,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,18,1347,32,1344,30,1318,26,3614,1347,-3,1,8,70,1247,9,1335,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,8,4096,12,2,128,measure,19,1344,30,1341,28,1318,23,3158,1347,-6,1,8,69,1245,10,1333,541717b1f7dc7b1c,0
