mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,warmup,0,1177,77,1173,74,1170,3,10,0,0,0,7,69,987,5,1068,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,warmup,1,1179,86,1174,84,1173,1,10,0,0,0,7,69,974,5,1055,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,warmup,2,1142,81,1137,78,1133,4,10,0,0,0,6,68,986,6,1067,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,warmup,3,1172,76,1168,74,1166,2,10,0,0,0,7,69,971,6,1053,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,warmup,4,1055,75,1051,71,1047,4,9,0,0,0,7,69,961,5,1042,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,0,1192,72,1187,70,1182,5,10,0,0,0,6,68,977,6,1058,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,1,1180,100,1175,97,1171,4,9,0,0,0,7,69,987,5,1068,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,2,1146,106,1140,102,1137,3,7,0,0,0,6,68,985,5,1065,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,3,1152,133,1145,129,1141,4,7,0,0,0,7,69,1002,6,1084,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,4,1137,108,1129,104,1124,5,8,0,0,0,7,69,991,5,1072,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,5,1120,109,1114,105,1110,4,8,0,0,0,7,69,996,6,1078,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,6,1158,114,1149,110,1147,2,7,0,0,0,7,69,1004,5,1085,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,7,1201,131,1195,126,1190,5,7,0,0,0,7,69,1002,5,1083,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,8,1107,103,1100,99,1094,6,8,0,0,0,7,69,1003,5,1084,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,9,1165,125,1158,119,1155,3,8,0,0,0,7,69,1003,5,1084,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,10,1099,112,1093,108,1089,4,8,0,0,0,7,68,986,6,1068,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,11,1216,115,1210,111,1205,5,9,0,0,0,6,68,1005,5,1085,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,12,1214,108,1207,105,1203,4,9,0,0,0,7,69,1009,5,1090,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,13,1174,107,1167,104,1164,3,8,0,0,0,7,69,1003,5,1084,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,14,1204,113,1198,109,1195,3,9,0,0,0,7,68,1007,5,1088,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,15,1206,116,1200,112,1195,5,9,0,0,0,7,69,1003,5,1084,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,16,1178,136,1172,132,1168,4,9,0,0,0,7,68,1001,5,1081,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,17,1176,114,1170,110,1163,7,9,0,0,0,7,68,1013,5,1094,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,18,1208,113,1202,109,1198,4,8,0,0,0,7,69,1002,5,1083,c50c94b789741948,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,4,4096,12,2,128,measure,19,1104,105,1097,101,1095,2,8,0,0,0,7,69,1009,5,1090,c50c94b789741948,0
