mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,warmup,0,2173,49,2171,47,2126,45,9413,2162,9,0,8,76,2045,34,2163,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,warmup,1,2175,42,2173,41,2135,38,8144,2171,2,0,8,75,2046,34,2164,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,warmup,2,2166,32,2163,31,2135,28,5939,2171,-8,0,8,75,2037,34,2154,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,warmup,3,2244,112,2239,108,2137,102,10543,2163,76,0,9,75,2113,34,2231,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,warmup,4,2252,118,2246,114,2139,107,11138,2163,83,0,9,75,2120,34,2238,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,0,2214,56,2208,52,2171,37,3712,2163,45,0,9,76,2080,34,2199,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,1,2250,117,2245,114,2137,108,11214,2163,82,0,8,75,2119,34,2236,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,2,2251,70,2244,65,2190,54,4210,2163,81,0,8,75,2118,34,2236,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,3,2228,90,2221,86,2145,76,5861,2163,58,0,9,76,2094,33,2212,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,4,2239,102,2232,97,2144,88,6762,2163,69,0,8,75,2105,33,2222,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,5,2204,65,2196,61,2147,49,3645,2163,33,0,7,75,2069,34,2186,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,6,2238,99,2230,95,2146,84,6488,2163,67,0,8,75,2104,34,2221,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,7,2236,98,2228,93,2146,82,6349,2163,65,0,7,75,2101,34,2218,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,8,2248,110,2241,105,2146,95,7368,2163,78,0,7,75,2114,33,2230,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,9,2259,120,2251,116,2145,106,8187,2163,88,0,9,75,2123,34,2242,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,10,2209,57,2203,53,2167,36,2635,2163,40,0,8,75,2077,33,2193,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,11,2232,96,2225,91,2145,80,6132,2163,62,0,9,75,2098,33,2215,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,12,2212,74,2204,69,2145,59,4551,2163,41,0,8,75,2078,34,2195,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,13,2246,108,2240,104,2145,95,7297,2163,77,0,8,75,2114,33,2230,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,14,2258,117,2250,112,2147,103,7974,2163,87,0,8,75,2124,34,2242,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,15,2208,70,2202,66,2145,57,4302,2163,39,0,8,75,2074,34,2192,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,16,2247,107,2240,103,2146,94,7169,2163,77,0,8,76,2113,34,2231,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,17,2260,120,2254,116,2147,107,8227,2163,91,0,8,75,2126,33,2243,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,18,2240,99,2233,95,2147,86,6618,2163,70,0,7,75,2107,34,2224,23e201cc6e23589a,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,32,4096,12,2,128,measure,19,2254,114,2248,110,2148,100,7729,2163,85,0,8,75,2120,34,2238,23e201cc6e23589a,0
