mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,warmup,0,1485,1484,1481,1482,0,1481,201992,0,0,0,7,72,1376,17,1472,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,warmup,1,1586,1481,1480,1468,0,1480,199770,0,0,0,7,72,1374,18,1471,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,warmup,2,1482,1438,1478,1435,0,1478,194911,0,0,0,8,72,1372,17,1469,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,warmup,3,1482,1320,1478,1317,0,1478,177901,0,0,0,7,71,1373,17,1468,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,warmup,4,1480,1426,1475,1423,0,1475,193075,0,0,0,7,71,1370,18,1466,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,0,1483,1442,1479,1439,0,1479,195464,0,0,0,7,72,1373,18,1470,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,1,1455,1358,1451,1357,0,1451,238707,0,0,0,8,72,1345,18,1443,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,2,1422,1383,1420,1381,0,1420,349448,0,0,0,7,72,1314,18,1411,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,3,1420,1381,1418,1380,0,1418,348963,0,0,0,7,72,1313,17,1409,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,4,1424,1394,1421,1392,0,1421,352341,0,0,0,7,72,1316,18,1413,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,5,1424,1393,1422,1392,0,1422,352257,0,0,0,7,72,1317,18,1414,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,6,1417,1351,1414,1350,0,1414,340794,0,0,0,7,72,1309,17,1406,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,7,1416,1384,1414,1382,0,1414,349939,0,0,0,7,72,1310,17,1406,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,8,1408,1369,1407,1367,0,1407,431151,0,0,0,6,71,1302,17,1397,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,9,1411,1376,1409,1375,0,1409,433860,0,0,0,7,72,1304,18,1401,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,10,1402,1351,1401,1349,0,1401,458289,0,0,0,7,72,1295,18,1392,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,11,1402,1368,1399,1366,0,1399,464823,0,0,0,7,71,1295,18,1391,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,12,1401,1367,1399,1365,0,1399,464603,0,0,0,6,72,1294,18,1390,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,13,1406,1373,1404,1372,0,1404,466708,0,0,0,7,72,1299,18,1396,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,14,1405,1372,1403,1371,0,1403,466389,0,0,0,7,71,1299,17,1395,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,15,1399,1345,1397,1344,0,1397,456441,0,0,0,7,71,1294,17,1389,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,16,1406,1373,1405,1372,0,1405,466695,0,0,0,7,72,1298,18,1395,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,17,1411,1370,1409,1369,0,1409,465271,0,0,0,7,71,1304,18,1401,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,18,1404,1370,1403,1370,0,1403,465921,0,0,0,7,72,1297,18,1394,f9e012e63c1c7864,0
baseline,spin,spin,0,0,low-capacity,16,4096,12,2,128,measure,19,1407,1343,1406,1342,0,1406,456104,0,0,0,6,72,1301,17,1396,f9e012e63c1c7864,0
