mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,warmup,0,2305,132,2297,127,2288,9,18,0,0,1,9,75,2166,33,2283,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,warmup,1,2386,140,2379,136,2373,6,19,0,0,1,9,75,2163,33,2280,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,warmup,2,2393,157,2387,153,2378,9,19,0,0,1,9,75,2157,33,2274,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,warmup,3,2310,129,2303,125,2291,12,18,0,0,1,9,75,2164,34,2283,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,warmup,4,2296,167,2290,165,2282,8,18,0,0,1,9,75,2159,34,2278,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,0,2384,183,2378,179,2371,7,19,0,0,1,9,75,2159,33,2276,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,1,2375,136,2369,132,2362,7,19,0,0,1,10,75,2159,34,2278,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,2,2301,278,2294,273,2285,9,17,0,0,1,9,75,2152,33,2269,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,3,2398,136,2390,132,2381,9,19,0,0,1,9,75,2165,33,2283,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,4,2409,167,2403,163,2392,11,19,0,0,1,9,75,2150,33,2267,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,5,2411,136,2404,131,2397,7,19,0,0,1,9,75,2155,33,2272,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,6,2331,130,2323,126,2313,10,18,0,0,1,10,75,2159,34,2278,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,7,2404,130,2398,126,2388,10,19,0,0,1,10,75,2167,33,2285,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,8,2381,135,2374,131,2364,10,19,0,0,1,9,75,2151,33,2269,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,32,4096,12,2,128,measure,9,2375,133,2368,129,2360,8,19,0,0,1,10,75,2159,33,2277,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,10,2343,139,2335,135,2325,10,18,0,0,1,9,75,2155,33,2273,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,11,2401,154,2393,150,2386,7,19,0,0,1,9,75,2156,33,2273,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,12,2285,144,2277,140,2267,10,18,0,0,1,9,76,2146,34,2265,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,13,2407,145,2400,141,2391,9,19,0,0,1,9,75,2147,33,2265,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,14,2335,159,2329,155,2321,8,18,0,0,1,9,75,2152,33,2269,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,15,2390,182,2384,178,2374,10,19,0,0,1,9,75,2151,33,2268,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,16,2382,150,2375,146,2369,6,19,0,0,1,9,75,2150,34,2269,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,17,2396,164,2388,160,2382,6,19,0,0,1,9,75,2150,33,2268,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,18,2303,148,2297,144,2291,6,18,0,0,1,9,75,2143,33,2260,23e201cc6e23589a,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,32,4096,12,2,128,measure,19,2278,144,2272,140,2266,6,18,0,0,1,9,75,2142,34,2261,23e201cc6e23589a,0
