mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,warmup,0,1614,1579,1608,1575,0,1608,124176,0,0,0,7,71,1502,18,1599,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,warmup,1,1603,1602,1597,1597,0,1597,126250,0,0,0,7,72,1491,18,1588,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,warmup,2,1607,1605,1601,1601,0,1601,126576,0,0,0,7,71,1496,17,1592,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,warmup,3,1604,1586,1599,1582,0,1599,124754,0,0,0,9,72,1492,17,1590,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,warmup,4,1603,1601,1598,1597,0,1598,126277,0,0,0,8,71,1492,17,1588,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,0,1479,1447,1475,1444,0,1475,196290,0,0,0,8,72,1369,17,1466,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,1,1570,1486,1473,1473,0,1473,200902,0,0,0,7,72,1368,17,1464,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,2,1482,1407,1478,1405,0,1478,190139,0,0,0,8,71,1371,17,1468,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,3,1579,1488,1476,1476,0,1476,201312,0,0,0,7,72,1370,18,1468,f9e012e63c1c7864,0
baseline,spin,spin,-1,1,unpinned,16,4096,12,2,128,measure,4,1477,1475,1473,1472,0,1473,200705,0,0,0,7,71,1366,17,1462,f9e012e63c1c7864,0
baseline,spin,spin,-1,1,unpinned,16,4096,12,2,128,measure,5,1601,1486,1472,1473,0,1472,200812,0,0,0,8,71,1367,17,1464,f9e012e63c1c7864,0
baseline,spin,spin,-1,1,unpinned,16,4096,12,2,128,measure,6,1475,1473,1471,1471,0,1471,200673,0,0,0,8,71,1367,16,1463,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,7,1429,1420,1426,1419,0,1426,306312,0,0,0,8,72,1322,16,1418,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,8,1441,1439,1438,1438,0,1438,278518,0,0,0,8,72,1332,17,1429,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,9,1440,1438,1437,1437,0,1437,278280,0,0,0,7,71,1333,17,1428,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,10,1469,1436,1436,1427,0,1436,275925,0,0,0,7,71,1331,17,1427,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,11,1441,1414,1438,1412,0,1438,272814,0,0,0,8,72,1332,17,1429,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,12,1438,1412,1434,1410,0,1434,272428,0,0,0,8,72,1329,17,1426,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,13,1438,1438,1436,1436,0,1436,278063,0,0,0,7,72,1330,17,1427,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,14,1416,1409,1414,1408,0,1414,399075,0,0,0,8,72,1308,18,1406,f9e012e63c1c7864,0
baseline,spin,spin,-1,0,unpinned,16,4096,12,2,128,measure,15,1414,1382,1412,1380,0,1412,390542,0,0,0,7,71,1307,18,1404,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,16,1408,1380,1406,1380,0,1406,469697,0,0,0,7,71,1301,17,1397,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,17,1406,1405,1404,1404,0,1404,478806,0,0,0,7,71,1298,18,1395,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,18,1407,1406,1405,1405,0,1405,479112,0,0,0,7,71,1298,18,1395,f9e012e63c1c7864,0
baseline,spin,spin,-1,5,unpinned,16,4096,12,2,128,measure,19,1460,1406,1406,1399,0,1406,476994,0,0,0,7,71,1301,17,1397,f9e012e63c1c7864,0
