placement,placement_label,host_cpu_requested,cpu_role,qo_len,wait_policy,samples,host_median_us,host_p50_us,host_p95_us,host_ci95_low_us,host_ci95_high_us,host_thread_cpu_median_us,host_thread_cpu_p95_us,host_cpu_utilization_median_pct,wait_median_us,sleep_median_us,spin_median_us,poll_median,prediction_error_p50_us,prediction_error_p95_us,descriptor_prepare_median_us,dsp_mapping_median_us,dsp_validate_in_median_us,dsp_compute_median_us,dsp_validate_out_median_us,dsp_dispatch_total_median_us,host_control_overhead_median_us,host_control_ci95_low_us,host_control_ci95_high_us,control_reduction_vs_legacy_us,control_reduction_vs_legacy_pct,speedup_vs_legacy,speedup_ci95_low,speedup_ci95_high,normalized_speedup_vs_legacy,normalized_speedup_ci95_low,normalized_speedup_ci95_high,legacy_amdahl_zero_control_limit,dsp_dispatch_shift_vs_legacy_pct,observed_speedup_exceeds_amdahl,unique_output_hashes
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,4,legacy,20,1146.0,1146.0,1175.3,1145.0,1148.5,35.0,57.750000000000014,3.055434890296227,1143.0,1141.0,3.0,11.0,0.0,0.0,1.0,7.0,69.0,1023.0,5.0,1104.0,41.0,40.0,46.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0380434782608696,0.0,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,4,spin,20,982.0,982.0,984.0,980.5,982.0,980.0,982.1,99.8980632008155,979.0,0.0,979.0,141559.5,0.0,0.0,1.0,8.0,69.0,887.0,6.0,970.0,11.0,11.0,12.0,30.0,73.17073170731707,1.1670061099796334,1.1659877800407332,1.170744138634047,1.0278026905829596,1.025526197939991,1.0309694793536803,1.0380434782608696,-12.13768115942029,1,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,4,predictive,20,1170.0,1170.0,1175.1,1166.0,1171.0,89.0,97.15,7.600341588385995,1167.0,1082.5,83.5,11972.0,53.0,58.05,1.0,8.0,69.0,1076.5,5.0,1159.0,11.0,11.0,11.0,30.0,73.17073170731707,0.9794871794871794,0.977796754910333,0.9836909871244636,1.0278026905829596,1.0259856630824373,1.0309694793536803,1.0380434782608696,4.98188405797102,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,8,legacy,20,1372.0,1372.0,1378.15,1368.0,1375.5,40.0,55.05000000000001,2.9165182534914753,1369.0,1366.0,2.5,13.0,0.0,0.0,0.0,7.0,70.0,1176.0,9.0,1263.5,106.0,101.5,112.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0858725761772854,0.0,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,8,spin,20,1132.0,1132.0,1137.15,1066.5,1135.0,1083.5,1135.1499999999999,99.90892101653759,1129.0,0.0,1129.0,164060.0,0.0,0.0,0.0,8.0,70.0,1033.0,9.0,1120.5,11.0,9.5,11.0,95.0,89.62264150943396,1.2120141342756183,1.206531332744925,1.288056206088993,1.0765005884660652,1.072884012539185,1.0809120281129767,1.0858725761772854,-11.317768104471703,1,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,8,predictive,20,1341.0,1341.0,1349.2,1341.0,1345.0,26.5,36.150000000000006,1.9754148371157945,1338.0,1318.0,20.5,2756.0,-9.0,-0.7999999999999972,1.0,8.0,70.0,1241.5,9.5,1329.5,12.0,11.5,12.0,94.0,88.67924528301887,1.023117076808352,1.018628912071535,1.0257270693512304,1.075656605252842,1.0719874804381846,1.0793476147169832,1.0858725761772854,5.223585278986942,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,16,legacy,20,1710.5,1710.5,1716.9499999999998,1636.0,1714.0,46.0,78.25,2.6837806301050176,1707.0,1704.0,3.0,16.0,0.0,0.0,0.0,7.0,71.5,1502.5,17.0,1599.0,110.5,35.0,114.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0697310819262038,0.0,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,16,spin,20,1361.5,1361.5,1446.05,1356.0,1371.0,1356.0,1443.0,99.92663144114582,1360.0,0.0,1360.0,590326.0,0.0,0.0,0.0,7.0,72.0,1255.5,18.0,1353.0,10.0,9.0,10.0,100.5,90.9502262443439,1.2563349247153874,1.199412412780022,1.2621502209131075,1.0630826600372902,1.016780609073959,1.066002490660025,1.0697310819262038,-15.384615384615385,1,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,16,predictive,20,1677.0,1677.0,1682.0,1675.5,1679.5,104.5,111.0,6.231365533691115,1674.0,1575.0,98.5,14115.5,70.0,75.0,1.0,8.0,71.0,1568.5,17.0,1665.5,12.0,12.0,12.0,98.5,89.14027149321267,1.0199761478831246,0.9752608047690015,1.0220632081097198,1.0617628801986343,1.0158335920521577,1.0646364201367309,1.0697310819262038,4.158849280800503,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,32,legacy,20,2303.5,2303.5,2335.2999999999997,2295.0,2321.5,54.5,77.4,2.362841556761959,2300.5,2296.0,4.0,21.0,0.0,0.0,1.0,9.0,75.0,2116.5,33.0,2234.5,71.0,62.5,85.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.030879391362721,0.0,0,1
high-capacity-cpu6,High Capacity CPU6,6,high-capacity,32,spin,20,1978.5,1978.5,2072.05,1974.5,1999.5,1975.5,2061.45,99.94930288576455,1977.5,0.0,1977.5,843392.0,0.0,0.0,0.0,8.0,75.0,1853.0,33.0,1969.5,10.0,9.0,10.0,61.0,85.91549295774648,1.1642658579732121,1.1480740370185092,1.1743862313338396,1.0262864780574739,1.0213618157543392,1.0347363323529017,1.030879391362721,-11.85947639292907,1,1
