mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,4,4096,12,2,128,warmup,0,1052,0
baseline,4,4096,12,2,128,warmup,1,935,0
baseline,4,4096,12,2,128,warmup,2,975,0
baseline,4,4096,12,2,128,warmup,3,1017,0
baseline,4,4096,12,2,128,warmup,4,1072,0
baseline,4,4096,12,2,128,measure,0,1050,0
baseline,4,4096,12,2,128,measure,1,1201,0
baseline,4,4096,12,2,128,measure,2,1235,0
baseline,4,4096,12,2,128,measure,3,1208,0
baseline,4,4096,12,2,128,measure,4,1184,0
baseline,4,4096,12,2,128,measure,5,1181,0
baseline,4,4096,12,2,128,measure,6,1185,0
baseline,4,4096,12,2,128,measure,7,1186,0
baseline,4,4096,12,2,128,measure,8,1182,0
baseline,4,4096,12,2,128,measure,9,1190,0
baseline,4,4096,12,2,128,measure,10,1103,0
baseline,4,4096,12,2,128,measure,11,1037,0
baseline,4,4096,12,2,128,measure,12,1025,0
baseline,4,4096,12,2,128,measure,13,1015,0
baseline,4,4096,12,2,128,measure,14,1011,0
baseline,4,4096,12,2,128,measure,15,991,0
baseline,4,4096,12,2,128,measure,16,1041,0
baseline,4,4096,12,2,128,measure,17,1030,0
baseline,4,4096,12,2,128,measure,18,1032,0
baseline,4,4096,12,2,128,measure,19,987,0
