mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,16,4096,12,2,128,warmup,0,1356,0
lut-exp,16,4096,12,2,128,warmup,1,1420,0
lut-exp,16,4096,12,2,128,warmup,2,1360,0
lut-exp,16,4096,12,2,128,warmup,3,1435,0
lut-exp,16,4096,12,2,128,warmup,4,1391,0
lut-exp,16,4096,12,2,128,measure,0,1388,0
lut-exp,16,4096,12,2,128,measure,1,1406,0
lut-exp,16,4096,12,2,128,measure,2,1395,0
lut-exp,16,4096,12,2,128,measure,3,1386,0
lut-exp,16,4096,12,2,128,measure,4,1381,0
lut-exp,16,4096,12,2,128,measure,5,1483,0
lut-exp,16,4096,12,2,128,measure,6,1610,0
lut-exp,16,4096,12,2,128,measure,7,1549,0
lut-exp,16,4096,12,2,128,measure,8,1552,0
lut-exp,16,4096,12,2,128,measure,9,1576,0
lut-exp,16,4096,12,2,128,measure,10,1590,0
lut-exp,16,4096,12,2,128,measure,11,1575,0
lut-exp,16,4096,12,2,128,measure,12,1574,0
lut-exp,16,4096,12,2,128,measure,13,1566,0
lut-exp,16,4096,12,2,128,measure,14,1509,0
lut-exp,16,4096,12,2,128,measure,15,1575,0
lut-exp,16,4096,12,2,128,measure,16,1566,0
lut-exp,16,4096,12,2,128,measure,17,1504,0
lut-exp,16,4096,12,2,128,measure,18,1502,0
lut-exp,16,4096,12,2,128,measure,19,1491,0
