mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,16,4096,12,2,128,warmup,0,33075,0
scna-fp16,16,4096,12,2,128,warmup,1,33124,0
scna-fp16,16,4096,12,2,128,warmup,2,33130,0
scna-fp16,16,4096,12,2,128,warmup,3,33257,0
scna-fp16,16,4096,12,2,128,warmup,4,33119,0
scna-fp16,16,4096,12,2,128,measure,0,33075,0
scna-fp16,16,4096,12,2,128,measure,1,33076,0
scna-fp16,16,4096,12,2,128,measure,2,32902,0
scna-fp16,16,4096,12,2,128,measure,3,33065,0
scna-fp16,16,4096,12,2,128,measure,4,32874,0
scna-fp16,16,4096,12,2,128,measure,5,33013,0
scna-fp16,16,4096,12,2,128,measure,6,32983,0
scna-fp16,16,4096,12,2,128,measure,7,33005,0
scna-fp16,16,4096,12,2,128,measure,8,32911,0
scna-fp16,16,4096,12,2,128,measure,9,32924,0
scna-fp16,16,4096,12,2,128,measure,10,33009,0
scna-fp16,16,4096,12,2,128,measure,11,32830,0
scna-fp16,16,4096,12,2,128,measure,12,32862,0
scna-fp16,16,4096,12,2,128,measure,13,32880,0
scna-fp16,16,4096,12,2,128,measure,14,32934,0
scna-fp16,16,4096,12,2,128,measure,15,32881,0
scna-fp16,16,4096,12,2,128,measure,16,32963,0
scna-fp16,16,4096,12,2,128,measure,17,32956,0
scna-fp16,16,4096,12,2,128,measure,18,32947,0
scna-fp16,16,4096,12,2,128,measure,19,32882,0
