mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,16,4096,12,2,128,warmup,0,18646,0
scna-int8,16,4096,12,2,128,warmup,1,18708,0
scna-int8,16,4096,12,2,128,warmup,2,18996,0
scna-int8,16,4096,12,2,128,warmup,3,18853,0
scna-int8,16,4096,12,2,128,warmup,4,19046,0
scna-int8,16,4096,12,2,128,measure,0,18732,0
scna-int8,16,4096,12,2,128,measure,1,18821,0
scna-int8,16,4096,12,2,128,measure,2,18809,0
scna-int8,16,4096,12,2,128,measure,3,18828,0
scna-int8,16,4096,12,2,128,measure,4,18714,0
scna-int8,16,4096,12,2,128,measure,5,18823,0
scna-int8,16,4096,12,2,128,measure,6,18736,0
scna-int8,16,4096,12,2,128,measure,7,18822,0
scna-int8,16,4096,12,2,128,measure,8,18830,0
scna-int8,16,4096,12,2,128,measure,9,18687,0
scna-int8,16,4096,12,2,128,measure,10,18719,0
scna-int8,16,4096,12,2,128,measure,11,18637,0
scna-int8,16,4096,12,2,128,measure,12,18690,0
scna-int8,16,4096,12,2,128,measure,13,18665,0
scna-int8,16,4096,12,2,128,measure,14,18803,0
scna-int8,16,4096,12,2,128,measure,15,18680,0
scna-int8,16,4096,12,2,128,measure,16,18616,0
scna-int8,16,4096,12,2,128,measure,17,18688,0
scna-int8,16,4096,12,2,128,measure,18,18693,0
scna-int8,16,4096,12,2,128,measure,19,18658,0
