mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,4,4096,12,2,128,warmup,0,910,0
baseline,4,4096,12,2,128,warmup,1,1003,0
baseline,4,4096,12,2,128,warmup,2,1030,0
baseline,4,4096,12,2,128,warmup,3,995,0
baseline,4,4096,12,2,128,warmup,4,993,0
baseline,4,4096,12,2,128,measure,0,997,0
baseline,4,4096,12,2,128,measure,1,1008,0
baseline,4,4096,12,2,128,measure,2,1004,0
baseline,4,4096,12,2,128,measure,3,1007,0
baseline,4,4096,12,2,128,measure,4,997,0
baseline,4,4096,12,2,128,measure,5,1007,0
baseline,4,4096,12,2,128,measure,6,987,0
baseline,4,4096,12,2,128,measure,7,1052,0
baseline,4,4096,12,2,128,measure,8,1055,0
baseline,4,4096,12,2,128,measure,9,1036,0
baseline,4,4096,12,2,128,measure,10,1050,0
baseline,4,4096,12,2,128,measure,11,1029,0
baseline,4,4096,12,2,128,measure,12,1044,0
baseline,4,4096,12,2,128,measure,13,1051,0
baseline,4,4096,12,2,128,measure,14,1042,0
baseline,4,4096,12,2,128,measure,15,1070,0
baseline,4,4096,12,2,128,measure,16,1051,0
baseline,4,4096,12,2,128,measure,17,1082,0
baseline,4,4096,12,2,128,measure,18,1057,0
baseline,4,4096,12,2,128,measure,19,1049,0
