mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,32,4096,12,2,128,warmup,0,1575,0
lut-exp,32,4096,12,2,128,warmup,1,1549,0
lut-exp,32,4096,12,2,128,warmup,2,1576,0
lut-exp,32,4096,12,2,128,warmup,3,1588,0
lut-exp,32,4096,12,2,128,warmup,4,1663,0
lut-exp,32,4096,12,2,128,measure,0,1641,0
lut-exp,32,4096,12,2,128,measure,1,1626,0
lut-exp,32,4096,12,2,128,measure,2,1692,0
lut-exp,32,4096,12,2,128,measure,3,1678,0
lut-exp,32,4096,12,2,128,measure,4,1715,0
lut-exp,32,4096,12,2,128,measure,5,1673,0
lut-exp,32,4096,12,2,128,measure,6,1676,0
lut-exp,32,4096,12,2,128,measure,7,1674,0
lut-exp,32,4096,12,2,128,measure,8,1664,0
lut-exp,32,4096,12,2,128,measure,9,1776,0
lut-exp,32,4096,12,2,128,measure,10,1839,0
lut-exp,32,4096,12,2,128,measure,11,1873,0
lut-exp,32,4096,12,2,128,measure,12,1807,0
lut-exp,32,4096,12,2,128,measure,13,1935,0
lut-exp,32,4096,12,2,128,measure,14,1818,0
lut-exp,32,4096,12,2,128,measure,15,1916,0
lut-exp,32,4096,12,2,128,measure,16,1834,0
lut-exp,32,4096,12,2,128,measure,17,1816,0
lut-exp,32,4096,12,2,128,measure,18,1826,0
lut-exp,32,4096,12,2,128,measure,19,1867,0
