mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,4,4096,12,2,128,warmup,0,1066,0
scna-fp16,4,4096,12,2,128,warmup,1,1278,0
scna-fp16,4,4096,12,2,128,warmup,2,1258,0
scna-fp16,4,4096,12,2,128,warmup,3,1232,0
scna-fp16,4,4096,12,2,128,warmup,4,1238,0
scna-fp16,4,4096,12,2,128,measure,0,1354,0
scna-fp16,4,4096,12,2,128,measure,1,1358,0
scna-fp16,4,4096,12,2,128,measure,2,1275,0
scna-fp16,4,4096,12,2,128,measure,3,1207,0
scna-fp16,4,4096,12,2,128,measure,4,1303,0
scna-fp16,4,4096,12,2,128,measure,5,1186,0
scna-fp16,4,4096,12,2,128,measure,6,1277,0
scna-fp16,4,4096,12,2,128,measure,7,1219,0
scna-fp16,4,4096,12,2,128,measure,8,1190,0
scna-fp16,4,4096,12,2,128,measure,9,1173,0
scna-fp16,4,4096,12,2,128,measure,10,1238,0
scna-fp16,4,4096,12,2,128,measure,11,1291,0
scna-fp16,4,4096,12,2,128,measure,12,1201,0
scna-fp16,4,4096,12,2,128,measure,13,1222,0
scna-fp16,4,4096,12,2,128,measure,14,1215,0
scna-fp16,4,4096,12,2,128,measure,15,1262,0
scna-fp16,4,4096,12,2,128,measure,16,1221,0
scna-fp16,4,4096,12,2,128,measure,17,1270,0
scna-fp16,4,4096,12,2,128,measure,18,1232,0
scna-fp16,4,4096,12,2,128,measure,19,1236,0
