mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,16,4096,12,2,128,warmup,0,1871,0
scna-int8,16,4096,12,2,128,warmup,1,1892,0
scna-int8,16,4096,12,2,128,warmup,2,1968,0
scna-int8,16,4096,12,2,128,warmup,3,1869,0
scna-int8,16,4096,12,2,128,warmup,4,1969,0
scna-int8,16,4096,12,2,128,measure,0,1969,0
scna-int8,16,4096,12,2,128,measure,1,1997,0
scna-int8,16,4096,12,2,128,measure,2,2000,0
scna-int8,16,4096,12,2,128,measure,3,2009,0
scna-int8,16,4096,12,2,128,measure,4,2117,0
scna-int8,16,4096,12,2,128,measure,5,1999,0
scna-int8,16,4096,12,2,128,measure,6,1988,0
scna-int8,16,4096,12,2,128,measure,7,1992,0
scna-int8,16,4096,12,2,128,measure,8,2078,0
scna-int8,16,4096,12,2,128,measure,9,2111,0
scna-int8,16,4096,12,2,128,measure,10,2022,0
scna-int8,16,4096,12,2,128,measure,11,2109,0
scna-int8,16,4096,12,2,128,measure,12,2127,0
scna-int8,16,4096,12,2,128,measure,13,2094,0
scna-int8,16,4096,12,2,128,measure,14,2105,0
scna-int8,16,4096,12,2,128,measure,15,2068,0
scna-int8,16,4096,12,2,128,measure,16,2122,0
scna-int8,16,4096,12,2,128,measure,17,1994,0
scna-int8,16,4096,12,2,128,measure,18,1978,0
scna-int8,16,4096,12,2,128,measure,19,2002,0
