mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,16,32,4096,12,2,128,warmup,0,3132,0
scna-fp16,16,32,4096,12,2,128,warmup,1,3006,0
scna-fp16,16,32,4096,12,2,128,warmup,2,2982,0
scna-fp16,16,32,4096,12,2,128,warmup,3,2964,0
scna-fp16,16,32,4096,12,2,128,warmup,4,2965,0
scna-fp16,16,32,4096,12,2,128,measure,0,3139,0
scna-fp16,16,32,4096,12,2,128,measure,1,3237,0
scna-fp16,16,32,4096,12,2,128,measure,2,3232,0
scna-fp16,16,32,4096,12,2,128,measure,3,3146,0
scna-fp16,16,32,4096,12,2,128,measure,4,3107,0
scna-fp16,16,32,4096,12,2,128,measure,5,3112,0
scna-fp16,16,32,4096,12,2,128,measure,6,3228,0
scna-fp16,16,32,4096,12,2,128,measure,7,3173,0
scna-fp16,16,32,4096,12,2,128,measure,8,3314,0
scna-fp16,16,32,4096,12,2,128,measure,9,3133,0
scna-fp16,16,32,4096,12,2,128,measure,10,3181,0
scna-fp16,16,32,4096,12,2,128,measure,11,3231,0
scna-fp16,16,32,4096,12,2,128,measure,12,3248,0
scna-fp16,16,32,4096,12,2,128,measure,13,3270,0
scna-fp16,16,32,4096,12,2,128,measure,14,3266,0
scna-fp16,16,32,4096,12,2,128,measure,15,3184,0
scna-fp16,16,32,4096,12,2,128,measure,16,3262,0
scna-fp16,16,32,4096,12,2,128,measure,17,3222,0
scna-fp16,16,32,4096,12,2,128,measure,18,3273,0
scna-fp16,16,32,4096,12,2,128,measure,19,3178,0
