mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,32,4096,12,2,128,warmup,0,4292,0
scna-int8,32,32,4096,12,2,128,warmup,1,4208,0
scna-int8,32,32,4096,12,2,128,warmup,2,4173,0
scna-int8,32,32,4096,12,2,128,warmup,3,4310,0
scna-int8,32,32,4096,12,2,128,warmup,4,4231,0
scna-int8,32,32,4096,12,2,128,measure,0,4262,0
scna-int8,32,32,4096,12,2,128,measure,1,4132,0
scna-int8,32,32,4096,12,2,128,measure,2,4202,0
scna-int8,32,32,4096,12,2,128,measure,3,4251,0
scna-int8,32,32,4096,12,2,128,measure,4,4309,0
scna-int8,32,32,4096,12,2,128,measure,5,4304,0
scna-int8,32,32,4096,12,2,128,measure,6,4337,0
scna-int8,32,32,4096,12,2,128,measure,7,4233,0
scna-int8,32,32,4096,12,2,128,measure,8,4365,0
scna-int8,32,32,4096,12,2,128,measure,9,4410,0
scna-int8,32,32,4096,12,2,128,measure,10,4410,0
scna-int8,32,32,4096,12,2,128,measure,11,4490,0
scna-int8,32,32,4096,12,2,128,measure,12,4424,0
scna-int8,32,32,4096,12,2,128,measure,13,4359,0
scna-int8,32,32,4096,12,2,128,measure,14,4424,0
scna-int8,32,32,4096,12,2,128,measure,15,4443,0
scna-int8,32,32,4096,12,2,128,measure,16,4364,0
scna-int8,32,32,4096,12,2,128,measure,17,4370,0
scna-int8,32,32,4096,12,2,128,measure,18,4404,0
scna-int8,32,32,4096,12,2,128,measure,19,4353,0
