mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
baseline,16,0,0,20,1369.5,1369.5,1480.35,1712.5,1712.5,1808.2,0.0,0.0,0.0,630.5,0.0,8.0,366.0,332.0,12.0,10.0
baseline,32,0,0,20,1909.0,1909.0,2030.6,2244.5,2244.5,2370.55,0.0,0.0,0.0,1295.0,0.0,15.0,161.5,368.0,24.0,21.0
baseline,4,0,0,20,749.0,749.0,866.05,1040.0,1040.0,1192.5,0.0,0.0,0.0,196.5,0.0,2.0,173.0,363.0,4.0,1.0
baseline,8,0,0,20,907.0,907.0,1001.3000000000001,1173.5,1173.5,1307.15,0.0,0.0,0.0,312.0,0.0,4.0,295.5,276.0,8.0,4.0
lut-exp,16,0,0,20,974.0,974.0,1033.85,1325.0,1325.0,1401.6000000000001,0.0,0.0,0.0,391.5,0.0,8.0,183.0,356.0,12.0,9.0
lut-exp,32,0,0,20,1452.0,1452.0,1575.25,1827.5,1827.5,1969.15,0.0,0.0,0.0,708.0,0.0,16.0,367.5,362.0,24.0,21.0
lut-exp,4,0,0,20,684.5,684.5,749.3,925.0,925.0,1062.5000000000002,0.0,0.0,0.0,88.0,0.0,2.0,309.0,281.0,4.0,1.0
lut-exp,8,0,0,20,785.0,785.0,824.55,1067.0,1067.0,1137.65,0.0,0.0,0.0,166.0,0.0,4.0,307.0,287.0,8.0,4.5
scna-fp16,16,16,1,20,1873.0,1873.0,1899.0,2185.5,2185.5,2255.8,71.0,0.000378106,0.00301601,1054.0,849.0,8.0,421.5,352.0,12.0,11.0
scna-fp16,16,32,1,20,2466.5,2466.5,2485.55,2800.0,2800.0,2836.65,116.0,8.59679e-05,0.000488281,1618.0,1420.5,8.0,445.0,356.0,12.0,12.0
scna-fp16,16,8,1,20,1516.0,1516.0,1594.2,1835.5,1835.5,1951.5,40.0,0.00231996,0.0185189,791.0,607.0,8.0,359.5,327.5,12.0,11.0
scna-fp16,32,16,1,20,2852.0,2852.0,2874.4,3225.0,3225.0,3275.05,71.0,0.000378106,0.00301601,2077.5,1682.0,16.0,321.5,364.0,24.0,23.0
scna-fp16,32,32,1,20,3851.5,3851.5,3865.8,4211.5,4211.5,4268.5,116.0,8.59679e-05,0.000488281,3223.5,2826.5,15.0,169.0,370.0,24.0,23.5
scna-fp16,32,8,1,20,2400.5,2400.5,2428.25,2773.0,2773.0,2814.85,40.0,0.00231996,0.0185189,1587.0,1206.0,15.0,395.5,333.5,24.0,22.0
scna-fp16,4,16,1,20,771.5,771.5,780.15,1020.5,1020.5,1095.2,71.0,0.000378106,0.00301601,259.0,218.0,2.0,258.5,237.0,4.0,3.0
scna-fp16,4,32,1,20,1116.0,1116.0,1188.05,1431.0,1431.0,1517.2,116.0,8.59679e-05,0.000488281,413.0,367.0,2.0,360.0,330.5,4.0,4.0
scna-fp16,4,8,1,20,856.0,856.0,925.95,1131.5,1131.5,1244.3,40.0,0.00231996,0.0185189,206.0,158.0,2.0,326.0,307.5,4.0,4.0
scna-fp16,8,16,1,20,1301.5,1301.5,1315.05,1595.5,1595.5,1671.55,71.0,0.000378106,0.00301601,537.0,431.5,4.0,387.0,345.5,8.0,8.5
scna-fp16,8,32,1,20,1408.0,1408.0,1496.55,1703.0,1703.0,1863.0,116.0,8.59679e-05,0.000488281,842.0,725.0,4.0,175.0,359.5,8.0,9.0
scna-fp16,8,8,1,20,1189.0,1189.0,1203.0,1478.5,1478.5,1562.7,40.0,0.00231996,0.0185189,416.0,313.0,4.0,400.0,343.5,8.0,7.0
scna-int8,16,16,2,20,1659.0,1659.0,1696.5,1976.5,1976.5,2018.0,71.0,0.0126392,0.0128937,1067.0,853.0,8.0,175.0,368.0,12.0,11.0
scna-int8,16,32,2,20,2278.5,2278.5,2421.35,2585.5,2585.5,2735.2,116.0,0.0185084,0.0187988,1632.5,1423.0,8.0,224.5,371.0,12.0,14.0
scna-int8,16,8,2,20,1614.0,1614.0,1640.05,1900.0,1900.0,1983.1,40.0,0.0052965,0.0161996,807.0,609.0,8.0,419.0,343.0,12.0,10.0
scna-int8,32,16,2,20,2847.5,2847.5,2896.5,3176.5,3176.5,3265.85,71.0,0.0126392,0.0128937,2062.0,1681.5,16.0,371.5,354.0,24.0,25.0
scna-int8,32,32,2,20,4007.5,4007.5,4070.2,4361.5,4361.5,4445.35,116.0,0.0185084,0.0187988,3214.0,2826.5,16.0,373.5,358.5,24.0,26.0
scna-int8,32,8,2,20,2455.0,2455.0,2464.2,2741.5,2741.5,2832.05,40.0,0.0052965,0.0161996,1597.0,1208.0,14.0,425.5,351.0,24.0,22.0
scna-int8,4,16,2,20,897.0,897.0,924.0500000000001,1190.5,1190.5,1220.35,71.0,0.0126392,0.0128937,264.0,220.0,2.0,304.5,314.0,4.0,4.0
scna-int8,4,32,2,20,1025.0,1025.0,1041.05,1291.5,1291.5,1404.4,116.0,0.0185084,0.0187988,462.5,377.0,2.0,177.5,369.5,4.0,6.0
scna-int8,4,8,2,20,942.0,942.0,979.0,1226.5,1226.5,1329.15,40.0,0.0052965,0.0161996,219.0,163.0,2.0,381.0,332.0,4.0,2.0
scna-int8,8,16,2,20,1133.5,1133.5,1231.35,1417.0,1417.0,1533.1,71.0,0.0126392,0.0128937,559.5,436.0,4.0,172.5,360.0,8.0,7.0
