mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,4,4096,12,2,128,warmup,0,1049,0
baseline,0,4,4096,12,2,128,warmup,1,1092,0
baseline,0,4,4096,12,2,128,warmup,2,1109,0
baseline,0,4,4096,12,2,128,warmup,3,1190,0
baseline,0,4,4096,12,2,128,warmup,4,1213,0
baseline,0,4,4096,12,2,128,measure,0,1208,0
baseline,0,4,4096,12,2,128,measure,1,1209,0
baseline,0,4,4096,12,2,128,measure,2,1212,0
baseline,0,4,4096,12,2,128,measure,3,1168,0
baseline,0,4,4096,12,2,128,measure,4,1201,0
baseline,0,4,4096,12,2,128,measure,5,1092,0
baseline,0,4,4096,12,2,128,measure,6,1199,0
baseline,0,4,4096,12,2,128,measure,7,1211,0
baseline,0,4,4096,12,2,128,measure,8,1223,0
baseline,0,4,4096,12,2,128,measure,9,945,0
baseline,0,4,4096,12,2,128,measure,10,1016,0
baseline,0,4,4096,12,2,128,measure,11,1010,0
baseline,0,4,4096,12,2,128,measure,12,1092,0
baseline,0,4,4096,12,2,128,measure,13,1012,0
baseline,0,4,4096,12,2,128,measure,14,1039,0
baseline,0,4,4096,12,2,128,measure,15,1013,0
baseline,0,4,4096,12,2,128,measure,16,1069,0
baseline,0,4,4096,12,2,128,measure,17,971,0
baseline,0,4,4096,12,2,128,measure,18,1067,0
baseline,0,4,4096,12,2,128,measure,19,1031,0
