mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,4,4096,12,2,128,warmup,0,913,0
lut-exp,0,4,4096,12,2,128,warmup,1,935,0
lut-exp,0,4,4096,12,2,128,warmup,2,1028,0
lut-exp,0,4,4096,12,2,128,warmup,3,1048,0
lut-exp,0,4,4096,12,2,128,warmup,4,1020,0
lut-exp,0,4,4096,12,2,128,measure,0,1044,0
lut-exp,0,4,4096,12,2,128,measure,1,1035,0
lut-exp,0,4,4096,12,2,128,measure,2,1010,0
lut-exp,0,4,4096,12,2,128,measure,3,1013,0
lut-exp,0,4,4096,12,2,128,measure,4,1007,0
lut-exp,0,4,4096,12,2,128,measure,5,1016,0
lut-exp,0,4,4096,12,2,128,measure,6,1108,0
lut-exp,0,4,4096,12,2,128,measure,7,1013,0
lut-exp,0,4,4096,12,2,128,measure,8,1019,0
lut-exp,0,4,4096,12,2,128,measure,9,1048,0
lut-exp,0,4,4096,12,2,128,measure,10,1096,0
lut-exp,0,4,4096,12,2,128,measure,11,985,0
lut-exp,0,4,4096,12,2,128,measure,12,1026,0
lut-exp,0,4,4096,12,2,128,measure,13,1068,0
lut-exp,0,4,4096,12,2,128,measure,14,1094,0
lut-exp,0,4,4096,12,2,128,measure,15,987,0
lut-exp,0,4,4096,12,2,128,measure,16,1082,0
lut-exp,0,4,4096,12,2,128,measure,17,959,0
lut-exp,0,4,4096,12,2,128,measure,18,949,0
lut-exp,0,4,4096,12,2,128,measure,19,972,0
