mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,16,8,4096,12,2,128,warmup,0,1328,0
scna-fp16,16,8,4096,12,2,128,warmup,1,1307,0
scna-fp16,16,8,4096,12,2,128,warmup,2,1227,0
scna-fp16,16,8,4096,12,2,128,warmup,3,1326,0
scna-fp16,16,8,4096,12,2,128,warmup,4,1336,0
scna-fp16,16,8,4096,12,2,128,measure,0,1247,0
scna-fp16,16,8,4096,12,2,128,measure,1,1300,0
scna-fp16,16,8,4096,12,2,128,measure,2,1306,0
scna-fp16,16,8,4096,12,2,128,measure,3,1342,0
scna-fp16,16,8,4096,12,2,128,measure,4,1346,0
scna-fp16,16,8,4096,12,2,128,measure,5,1331,0
scna-fp16,16,8,4096,12,2,128,measure,6,1324,0
scna-fp16,16,8,4096,12,2,128,measure,7,1357,0
scna-fp16,16,8,4096,12,2,128,measure,8,1334,0
scna-fp16,16,8,4096,12,2,128,measure,9,1323,0
scna-fp16,16,8,4096,12,2,128,measure,10,1299,0
scna-fp16,16,8,4096,12,2,128,measure,11,1314,0
scna-fp16,16,8,4096,12,2,128,measure,12,1313,0
scna-fp16,16,8,4096,12,2,128,measure,13,1341,0
scna-fp16,16,8,4096,12,2,128,measure,14,1295,0
scna-fp16,16,8,4096,12,2,128,measure,15,1293,0
scna-fp16,16,8,4096,12,2,128,measure,16,1337,0
scna-fp16,16,8,4096,12,2,128,measure,17,1375,0
scna-fp16,16,8,4096,12,2,128,measure,18,1296,0
scna-fp16,16,8,4096,12,2,128,measure,19,1285,0
