mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,32,4096,12,2,128,warmup,0,4086,0
scna-int8,32,32,4096,12,2,128,warmup,1,4173,0
scna-int8,32,32,4096,12,2,128,warmup,2,4198,0
scna-int8,32,32,4096,12,2,128,warmup,3,4327,0
scna-int8,32,32,4096,12,2,128,warmup,4,4257,0
scna-int8,32,32,4096,12,2,128,measure,0,4319,0
scna-int8,32,32,4096,12,2,128,measure,1,4268,0
scna-int8,32,32,4096,12,2,128,measure,2,4339,0
scna-int8,32,32,4096,12,2,128,measure,3,4373,0
scna-int8,32,32,4096,12,2,128,measure,4,4309,0
scna-int8,32,32,4096,12,2,128,measure,5,4294,0
scna-int8,32,32,4096,12,2,128,measure,6,4273,0
scna-int8,32,32,4096,12,2,128,measure,7,4305,0
scna-int8,32,32,4096,12,2,128,measure,8,4324,0
scna-int8,32,32,4096,12,2,128,measure,9,4232,0
scna-int8,32,32,4096,12,2,128,measure,10,4341,0
scna-int8,32,32,4096,12,2,128,measure,11,4350,0
scna-int8,32,32,4096,12,2,128,measure,12,4284,0
scna-int8,32,32,4096,12,2,128,measure,13,4273,0
scna-int8,32,32,4096,12,2,128,measure,14,4332,0
scna-int8,32,32,4096,12,2,128,measure,15,4285,0
scna-int8,32,32,4096,12,2,128,measure,16,4354,0
scna-int8,32,32,4096,12,2,128,measure,17,4314,0
scna-int8,32,32,4096,12,2,128,measure,18,4243,0
scna-int8,32,32,4096,12,2,128,measure,19,4224,0
