mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,8,4096,12,2,128,warmup,0,1197,0
baseline,0,8,4096,12,2,128,warmup,1,1294,0
baseline,0,8,4096,12,2,128,warmup,2,1301,0
baseline,0,8,4096,12,2,128,warmup,3,1301,0
baseline,0,8,4096,12,2,128,warmup,4,1293,0
baseline,0,8,4096,12,2,128,measure,0,1298,0
baseline,0,8,4096,12,2,128,measure,1,1331,0
baseline,0,8,4096,12,2,128,measure,2,1315,0
baseline,0,8,4096,12,2,128,measure,3,1357,0
baseline,0,8,4096,12,2,128,measure,4,1362,0
baseline,0,8,4096,12,2,128,measure,5,1362,0
baseline,0,8,4096,12,2,128,measure,6,1377,0
baseline,0,8,4096,12,2,128,measure,7,1260,0
baseline,0,8,4096,12,2,128,measure,8,1361,0
baseline,0,8,4096,12,2,128,measure,9,1379,0
baseline,0,8,4096,12,2,128,measure,10,1242,0
baseline,0,8,4096,12,2,128,measure,11,1340,0
baseline,0,8,4096,12,2,128,measure,12,1364,0
baseline,0,8,4096,12,2,128,measure,13,1301,0
baseline,0,8,4096,12,2,128,measure,14,1360,0
baseline,0,8,4096,12,2,128,measure,15,1494,0
baseline,0,8,4096,12,2,128,measure,16,1445,0
baseline,0,8,4096,12,2,128,measure,17,1458,0
baseline,0,8,4096,12,2,128,measure,18,1446,0
baseline,0,8,4096,12,2,128,measure,19,1521,0
