mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,32,32,4096,12,2,128,warmup,0,4086,0
scna-fp16,32,32,4096,12,2,128,warmup,1,4167,0
scna-fp16,32,32,4096,12,2,128,warmup,2,4223,0
scna-fp16,32,32,4096,12,2,128,warmup,3,4223,0
scna-fp16,32,32,4096,12,2,128,warmup,4,4316,0
scna-fp16,32,32,4096,12,2,128,measure,0,4281,0
scna-fp16,32,32,4096,12,2,128,measure,1,4381,0
scna-fp16,32,32,4096,12,2,128,measure,2,4316,0
scna-fp16,32,32,4096,12,2,128,measure,3,4314,0
scna-fp16,32,32,4096,12,2,128,measure,4,4282,0
scna-fp16,32,32,4096,12,2,128,measure,5,4346,0
scna-fp16,32,32,4096,12,2,128,measure,6,4377,0
scna-fp16,32,32,4096,12,2,128,measure,7,4356,0
scna-fp16,32,32,4096,12,2,128,measure,8,4340,0
scna-fp16,32,32,4096,12,2,128,measure,9,4287,0
scna-fp16,32,32,4096,12,2,128,measure,10,4358,0
scna-fp16,32,32,4096,12,2,128,measure,11,4365,0
scna-fp16,32,32,4096,12,2,128,measure,12,4345,0
scna-fp16,32,32,4096,12,2,128,measure,13,4292,0
scna-fp16,32,32,4096,12,2,128,measure,14,4236,0
scna-fp16,32,32,4096,12,2,128,measure,15,4372,0
scna-fp16,32,32,4096,12,2,128,measure,16,4368,0
scna-fp16,32,32,4096,12,2,128,measure,17,4324,0
scna-fp16,32,32,4096,12,2,128,measure,18,4347,0
scna-fp16,32,32,4096,12,2,128,measure,19,4357,0
