mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,8,16,4096,12,2,128,warmup,0,1868,0
scna-int8,8,16,4096,12,2,128,warmup,1,1752,0
scna-int8,8,16,4096,12,2,128,warmup,2,1729,0
scna-int8,8,16,4096,12,2,128,warmup,3,1750,0
scna-int8,8,16,4096,12,2,128,warmup,4,1742,0
scna-int8,8,16,4096,12,2,128,measure,0,1665,0
scna-int8,8,16,4096,12,2,128,measure,1,1629,0
scna-int8,8,16,4096,12,2,128,measure,2,1748,0
scna-int8,8,16,4096,12,2,128,measure,3,1744,0
scna-int8,8,16,4096,12,2,128,measure,4,1742,0
scna-int8,8,16,4096,12,2,128,measure,5,1744,0
scna-int8,8,16,4096,12,2,128,measure,6,1780,0
scna-int8,8,16,4096,12,2,128,measure,7,1780,0
scna-int8,8,16,4096,12,2,128,measure,8,1888,0
scna-int8,8,16,4096,12,2,128,measure,9,1874,0
scna-int8,8,16,4096,12,2,128,measure,10,1888,0
scna-int8,8,16,4096,12,2,128,measure,11,1858,0
scna-int8,8,16,4096,12,2,128,measure,12,1878,0
scna-int8,8,16,4096,12,2,128,measure,13,1859,0
scna-int8,8,16,4096,12,2,128,measure,14,1769,0
scna-int8,8,16,4096,12,2,128,measure,15,1821,0
scna-int8,8,16,4096,12,2,128,measure,16,1865,0
scna-int8,8,16,4096,12,2,128,measure,17,1871,0
scna-int8,8,16,4096,12,2,128,measure,18,1866,0
scna-int8,8,16,4096,12,2,128,measure,19,1756,0
