mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,8,4096,12,2,128,warmup,0,1254,0
baseline,0,8,4096,12,2,128,warmup,1,1126,0
baseline,0,8,4096,12,2,128,warmup,2,1106,0
baseline,0,8,4096,12,2,128,warmup,3,1096,0
baseline,0,8,4096,12,2,128,warmup,4,1090,0
baseline,0,8,4096,12,2,128,measure,0,1090,0
baseline,0,8,4096,12,2,128,measure,1,1085,0
baseline,0,8,4096,12,2,128,measure,2,1087,0
baseline,0,8,4096,12,2,128,measure,3,1088,0
baseline,0,8,4096,12,2,128,measure,4,1082,0
baseline,0,8,4096,12,2,128,measure,5,1086,0
baseline,0,8,4096,12,2,128,measure,6,1088,0
baseline,0,8,4096,12,2,128,measure,7,1176,0
baseline,0,8,4096,12,2,128,measure,8,1117,0
baseline,0,8,4096,12,2,128,measure,9,1122,0
baseline,0,8,4096,12,2,128,measure,10,1130,0
baseline,0,8,4096,12,2,128,measure,11,1136,0
baseline,0,8,4096,12,2,128,measure,12,1100,0
baseline,0,8,4096,12,2,128,measure,13,1121,0
baseline,0,8,4096,12,2,128,measure,14,1105,0
baseline,0,8,4096,12,2,128,measure,15,1125,0
baseline,0,8,4096,12,2,128,measure,16,1115,0
baseline,0,8,4096,12,2,128,measure,17,1132,0
baseline,0,8,4096,12,2,128,measure,18,1115,0
baseline,0,8,4096,12,2,128,measure,19,1119,0
