mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,32,4096,12,2,128,warmup,0,1436,0
lut-exp,0,32,4096,12,2,128,warmup,1,1445,0
lut-exp,0,32,4096,12,2,128,warmup,2,1541,0
lut-exp,0,32,4096,12,2,128,warmup,3,1539,0
lut-exp,0,32,4096,12,2,128,warmup,4,1614,0
lut-exp,0,32,4096,12,2,128,measure,0,1523,0
lut-exp,0,32,4096,12,2,128,measure,1,1533,0
lut-exp,0,32,4096,12,2,128,measure,2,1453,0
lut-exp,0,32,4096,12,2,128,measure,3,1532,0
lut-exp,0,32,4096,12,2,128,measure,4,1538,0
lut-exp,0,32,4096,12,2,128,measure,5,1527,0
lut-exp,0,32,4096,12,2,128,measure,6,1546,0
lut-exp,0,32,4096,12,2,128,measure,7,1518,0
lut-exp,0,32,4096,12,2,128,measure,8,1517,0
lut-exp,0,32,4096,12,2,128,measure,9,1489,0
lut-exp,0,32,4096,12,2,128,measure,10,1519,0
lut-exp,0,32,4096,12,2,128,measure,11,1521,0
lut-exp,0,32,4096,12,2,128,measure,12,1520,0
lut-exp,0,32,4096,12,2,128,measure,13,1532,0
lut-exp,0,32,4096,12,2,128,measure,14,1529,0
lut-exp,0,32,4096,12,2,128,measure,15,1521,0
lut-exp,0,32,4096,12,2,128,measure,16,1538,0
lut-exp,0,32,4096,12,2,128,measure,17,1556,0
lut-exp,0,32,4096,12,2,128,measure,18,1484,0
lut-exp,0,32,4096,12,2,128,measure,19,1538,0
